Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,API Distillate Stocks,2017-05-19T00:00:00,-1.852,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-05-26T00:00:00,0.124,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-06-02T00:00:00,1.75,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-06-09T00:00:00,-1.451,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-06-16T00:00:00,1.837,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-06-23T00:00:00,0.678,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-06-30T00:00:00,0.372,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-07-07T00:00:00,2.079,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-07-14T00:00:00,-2.888,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-07-21T00:00:00,-0.111,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-07-28T00:00:00,-1.225,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-08-04T00:00:00,-0.157,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-08-11T00:00:00,-2.074,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-08-18T00:00:00,2.048,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-08-25T00:00:00,-0.486,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-09-01T00:00:00,-0.603,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-09-08T00:00:00,-1.805,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-09-15T00:00:00,-6.131,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-09-22T00:00:00,-4.527,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-09-29T00:00:00,-0.584,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-10-06T00:00:00,2.029,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-10-13T00:00:00,1.644,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-10-20T00:00:00,-4.949,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-10-27T00:00:00,-3.106,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-11-03T00:00:00,-3.133,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-11-10T00:00:00,-2.527,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-11-17T00:00:00,-1.673,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-11-24T00:00:00,2.696,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-12-01T00:00:00,4.259,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
United States,API Distillate Stocks,2017-12-08T00:00:00,1.538,Weekly,UNITEDSTAAPIDISSTO,2020-07-20T11:10:00
