Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Asylum Applications,2000-12-31T00:00:00,40748,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2001-12-31T00:00:00,61710,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2002-12-31T00:00:00,57957,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2003-12-31T00:00:00,38749,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2004-12-31T00:00:00,26729,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2005-12-31T00:00:00,24616,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2006-12-31T00:00:00,25277,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2007-12-31T00:00:00,25367,Yearly,UNITEDSTAASYAPP,2021-04-14T16:23:00
United States,Asylum Applications,2008-12-31T00:00:00,42841,Yearly,UNITEDSTAASYAPP,2024-01-09T08:43:00
United States,Asylum Applications,2009-12-31T00:00:00,35818,Yearly,UNITEDSTAASYAPP,2024-01-09T08:43:00
United States,Asylum Applications,2010-12-31T00:00:00,32897,Yearly,UNITEDSTAASYAPP,2024-01-09T08:44:00
United States,Asylum Applications,2011-12-31T00:00:00,41478,Yearly,UNITEDSTAASYAPP,2023-05-17T15:15:00
United States,Asylum Applications,2012-12-31T00:00:00,44625,Yearly,UNITEDSTAASYAPP,2024-01-09T08:44:00
United States,Asylum Applications,2013-12-31T00:00:00,43608,Yearly,UNITEDSTAASYAPP,2024-01-09T08:44:00
United States,Asylum Applications,2014-12-31T00:00:00,47787,Yearly,UNITEDSTAASYAPP,2024-01-09T08:45:00
United States,Asylum Applications,2015-12-31T00:00:00,64097,Yearly,UNITEDSTAASYAPP,2024-01-09T08:45:00
United States,Asylum Applications,2016-12-31T00:00:00,83240,Yearly,UNITEDSTAASYAPP,2024-01-09T08:45:00
United States,Asylum Applications,2017-12-31T00:00:00,146165,Yearly,UNITEDSTAASYAPP,2024-01-09T08:45:00
United States,Asylum Applications,2018-12-31T00:00:00,165975,Yearly,UNITEDSTAASYAPP,2024-01-09T08:46:00
United States,Asylum Applications,2019-12-31T00:00:00,216745,Yearly,UNITEDSTAASYAPP,2024-01-09T08:46:00
United States,Asylum Applications,2020-12-31T00:00:00,197832,Yearly,UNITEDSTAASYAPP,2024-01-09T08:48:00
United States,Asylum Applications,2021-12-31T00:00:00,88884,Yearly,UNITEDSTAASYAPP,2024-01-09T08:48:00
United States,Asylum Applications,2022-12-31T00:00:00,259982,Yearly,UNITEDSTAASYAPP,2024-01-09T08:48:00
United States,Asylum Applications,2023-12-31T00:00:00,478885,Yearly,UNITEDSTAASYAPP,2024-01-09T08:49:00
