Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Auto Exports,1993-01-31T00:00:00,30.2,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-02-28T00:00:00,42.5,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-03-31T00:00:00,57.4,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-04-30T00:00:00,47.6,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-05-31T00:00:00,51.7,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-06-30T00:00:00,42.5,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-07-31T00:00:00,17.7,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-08-31T00:00:00,27.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-09-30T00:00:00,40.3,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-10-31T00:00:00,44,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-11-30T00:00:00,44.7,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1993-12-31T00:00:00,46.5,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-01-31T00:00:00,44.9,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-02-28T00:00:00,55.8,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-03-31T00:00:00,67.6,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-04-30T00:00:00,60.4,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-05-31T00:00:00,59.9,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-06-30T00:00:00,48.9,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-07-31T00:00:00,25.8,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-08-31T00:00:00,35.6,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-09-30T00:00:00,47.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-10-31T00:00:00,41,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-11-30T00:00:00,46.5,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1994-12-31T00:00:00,52.7,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-01-31T00:00:00,45.2,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-02-28T00:00:00,50,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-03-31T00:00:00,58.6,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-04-30T00:00:00,46.9,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-05-31T00:00:00,50.4,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-06-30T00:00:00,39.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-07-31T00:00:00,27.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-08-31T00:00:00,30.4,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-09-30T00:00:00,35.7,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-10-31T00:00:00,43.8,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-11-30T00:00:00,40.6,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1995-12-31T00:00:00,53.2,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-01-31T00:00:00,41.8,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-02-29T00:00:00,47.4,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-03-31T00:00:00,51.7,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-04-30T00:00:00,45.2,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-05-31T00:00:00,50.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-06-30T00:00:00,37,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-07-31T00:00:00,26.9,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-08-31T00:00:00,39.7,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-09-30T00:00:00,48.9,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-10-31T00:00:00,48.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-11-30T00:00:00,43.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1996-12-31T00:00:00,46.3,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-01-31T00:00:00,31.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-02-28T00:00:00,47.9,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-03-31T00:00:00,58,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-04-30T00:00:00,52.7,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-05-31T00:00:00,61.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-06-30T00:00:00,51.6,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-07-31T00:00:00,21,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-08-31T00:00:00,41.2,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-09-30T00:00:00,38.1,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-10-31T00:00:00,50,Monthly,USAAUTEXP,2023-04-24T14:25:00
United States,Auto Exports,1997-11-30T00:00:00,42.2,Monthly,USAAUTEXP,2023-04-24T14:25:00
