Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Balance of Trade,1950-01-31T00:00:00,0.203,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-02-28T00:00:00,0.186,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-03-31T00:00:00,0.195,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-04-30T00:00:00,0.18,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-05-31T00:00:00,0.136,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-06-30T00:00:00,0.147,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-07-31T00:00:00,0.034,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-08-31T00:00:00,-0.008,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-09-30T00:00:00,-0.066,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-10-31T00:00:00,-0.019,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-11-30T00:00:00,0.064,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1950-12-31T00:00:00,0.024,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-01-31T00:00:00,0.031,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-02-28T00:00:00,0.095,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-03-31T00:00:00,0.083,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-04-30T00:00:00,0.251,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-05-31T00:00:00,0.147,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-06-30T00:00:00,0.165,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-07-31T00:00:00,0.294,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-08-31T00:00:00,0.348,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-09-30T00:00:00,0.395,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-10-31T00:00:00,0.301,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-11-30T00:00:00,0.428,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1951-12-31T00:00:00,0.497,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-01-31T00:00:00,0.394,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-02-29T00:00:00,0.355,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-03-31T00:00:00,0.377,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-04-30T00:00:00,0.268,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-05-31T00:00:00,0.29,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-06-30T00:00:00,0.181,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-07-31T00:00:00,0.124,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-08-31T00:00:00,0.115,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-09-30T00:00:00,0.113,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-10-31T00:00:00,0.105,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-11-30T00:00:00,0.122,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1952-12-31T00:00:00,0.038,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-01-31T00:00:00,0.137,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-02-28T00:00:00,0.069,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-03-31T00:00:00,0.078,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-04-30T00:00:00,0.026,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-05-31T00:00:00,0.077,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-06-30T00:00:00,0.085,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-07-31T00:00:00,0.112,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-08-31T00:00:00,0.116,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-09-30T00:00:00,0.186,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-10-31T00:00:00,0.133,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-11-30T00:00:00,0.162,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1953-12-31T00:00:00,0.236,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-01-31T00:00:00,0.107,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-02-28T00:00:00,0.195,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-03-31T00:00:00,0.1,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-04-30T00:00:00,0.251,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-05-31T00:00:00,0.239,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-06-30T00:00:00,0.156,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-07-31T00:00:00,0.229,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-08-31T00:00:00,0.216,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-09-30T00:00:00,0.238,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-10-31T00:00:00,0.306,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-11-30T00:00:00,0.326,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1954-12-31T00:00:00,0.256,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-01-31T00:00:00,0.282,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-02-28T00:00:00,0.301,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-03-31T00:00:00,0.252,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-04-30T00:00:00,0.211,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-05-31T00:00:00,0.193,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-06-30T00:00:00,0.242,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-07-31T00:00:00,0.27,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-08-31T00:00:00,0.263,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-09-30T00:00:00,0.243,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-10-31T00:00:00,0.215,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-11-30T00:00:00,0.17,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1955-12-31T00:00:00,0.255,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-01-31T00:00:00,0.244,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-02-29T00:00:00,0.227,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-03-31T00:00:00,0.314,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-04-30T00:00:00,0.375,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-05-31T00:00:00,0.373,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-06-30T00:00:00,0.373,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-07-31T00:00:00,0.349,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-08-31T00:00:00,0.389,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-09-30T00:00:00,0.454,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-10-31T00:00:00,0.454,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-11-30T00:00:00,0.391,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1956-12-31T00:00:00,0.786,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-01-31T00:00:00,0.596,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-02-28T00:00:00,0.521,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-03-31T00:00:00,0.763,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-04-30T00:00:00,0.639,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-05-31T00:00:00,0.5,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-06-30T00:00:00,0.616,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-07-31T00:00:00,0.506,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-08-31T00:00:00,0.518,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-09-30T00:00:00,0.531,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-10-31T00:00:00,0.46,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-11-30T00:00:00,0.469,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1957-12-31T00:00:00,0.413,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-01-31T00:00:00,0.37,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-02-28T00:00:00,0.3,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-03-31T00:00:00,0.334,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-04-30T00:00:00,0.313,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-05-31T00:00:00,0.313,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-06-30T00:00:00,0.3,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-07-31T00:00:00,0.338,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-08-31T00:00:00,0.319,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-09-30T00:00:00,0.271,Monthly,USTBTOT,2015-06-03T15:43:00
United States,Balance of Trade,1958-10-31T00:00:00,0.258,Monthly,USTBTOT,2015-06-03T15:43:00
