Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Bank Lending Rate,1950-01-31T00:00:00,2,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1950-02-28T00:00:00,2,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1950-03-31T00:00:00,2,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1950-04-30T00:00:00,2,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1950-05-31T00:00:00,2,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1950-06-30T00:00:00,2,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1950-07-31T00:00:00,2,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1950-08-31T00:00:00,2,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1950-09-30T00:00:00,2.08,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1950-10-31T00:00:00,2.25,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1950-11-30T00:00:00,2.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1950-12-31T00:00:00,2.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-01-31T00:00:00,2.44,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-02-28T00:00:00,2.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-03-31T00:00:00,2.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-04-30T00:00:00,2.5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1951-05-31T00:00:00,2.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-06-30T00:00:00,2.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-07-31T00:00:00,2.5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1951-08-31T00:00:00,2.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-09-30T00:00:00,2.5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1951-10-31T00:00:00,2.62,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-11-30T00:00:00,2.75,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1951-12-31T00:00:00,2.85,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1952-01-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1952-02-29T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1952-03-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1952-04-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1952-05-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1952-06-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1952-07-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1952-08-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1952-09-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1952-10-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1952-11-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1952-12-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1953-01-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1953-02-28T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1953-03-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1953-04-30T00:00:00,3.03,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1953-05-31T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1953-06-30T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1953-07-31T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1953-08-31T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1953-09-30T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1953-10-31T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1953-11-30T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1953-12-31T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-01-31T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-02-28T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-03-31T00:00:00,3.13,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-04-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-05-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1954-06-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-07-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-08-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1954-09-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-10-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-11-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1954-12-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-01-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1955-02-28T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-03-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-04-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-05-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1955-06-30T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-07-31T00:00:00,3,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-08-31T00:00:00,3.23,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-09-30T00:00:00,3.25,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-10-31T00:00:00,3.4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1955-11-30T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1955-12-31T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1956-01-31T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1956-02-29T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1956-03-31T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1956-04-30T00:00:00,3.65,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1956-05-31T00:00:00,3.75,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1956-06-30T00:00:00,3.75,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1956-07-31T00:00:00,3.75,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1956-08-31T00:00:00,3.84,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1956-09-30T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1956-10-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1956-11-30T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1956-12-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1957-01-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-02-28T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-03-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-04-30T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-05-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-06-30T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1957-07-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-08-31T00:00:00,4.42,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-09-30T00:00:00,4.5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1957-10-31T00:00:00,4.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-11-30T00:00:00,4.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1957-12-31T00:00:00,4.5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1958-01-31T00:00:00,4.34,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1958-02-28T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1958-03-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1958-04-30T00:00:00,3.83,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1958-05-31T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1958-06-30T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1958-07-31T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1958-08-31T00:00:00,3.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1958-09-30T00:00:00,3.83,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1958-10-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1958-11-30T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1958-12-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1959-01-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1959-02-28T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1959-03-31T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1959-04-30T00:00:00,4,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1959-05-31T00:00:00,4.23,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1959-06-30T00:00:00,4.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1959-07-31T00:00:00,4.5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1959-08-31T00:00:00,4.5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1959-09-30T00:00:00,5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1959-10-31T00:00:00,5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
United States,Bank Lending Rate,1959-11-30T00:00:00,5,Monthly,UNITEDSTABANLENRAT,2015-04-25T14:40:00
United States,Bank Lending Rate,1959-12-31T00:00:00,5,Monthly,UNITEDSTABANLENRAT,2012-10-19T20:08:00
