Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Banks Balance Sheet,1973-01-03T00:00:00,716.2,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-01-10T00:00:00,702.4,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-01-17T00:00:00,702.5,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-01-24T00:00:00,697.6,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-01-31T00:00:00,704.2,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-02-07T00:00:00,699.8,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-02-14T00:00:00,710.6,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-02-21T00:00:00,711.1,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-02-28T00:00:00,717.4,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-03-07T00:00:00,715.5,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-03-14T00:00:00,717.8,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-03-21T00:00:00,715.3,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-03-28T00:00:00,717.6,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-04-04T00:00:00,722.4,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-04-11T00:00:00,723.8,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-04-18T00:00:00,729.4,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-04-25T00:00:00,726.7,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-05-02T00:00:00,732.9,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
United States,Banks Balance Sheet,1973-05-09T00:00:00,729.1,Weekly,UNITEDSTABANBALSHE,2021-02-22T15:29:00
