Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Building Permits,1960-01-31T00:00:00,1092,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-02-29T00:00:00,1088,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-03-31T00:00:00,955,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-04-30T00:00:00,1016,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-05-31T00:00:00,1052,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1960-06-30T00:00:00,958,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-07-31T00:00:00,999,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-08-31T00:00:00,994,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-09-30T00:00:00,984,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-10-31T00:00:00,972,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1960-11-30T00:00:00,979,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1960-12-31T00:00:00,951,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1961-01-31T00:00:00,969,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1961-02-28T00:00:00,961,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1961-03-31T00:00:00,1000,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1961-04-30T00:00:00,1002,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1961-05-31T00:00:00,1027,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1961-06-30T00:00:00,1070,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1961-07-31T00:00:00,1083,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1961-08-31T00:00:00,1159,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1961-09-30T00:00:00,1098,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1961-10-31T00:00:00,1123,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1961-11-30T00:00:00,1152,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1961-12-31T00:00:00,1161,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-01-31T00:00:00,1122,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-02-28T00:00:00,1194,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-03-31T00:00:00,1134,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-04-30T00:00:00,1235,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1962-05-31T00:00:00,1142,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-06-30T00:00:00,1154,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-07-31T00:00:00,1189,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1962-08-31T00:00:00,1200,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-09-30T00:00:00,1223,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1962-10-31T00:00:00,1181,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-11-30T00:00:00,1236,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1962-12-31T00:00:00,1236,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1963-01-31T00:00:00,1248,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-02-28T00:00:00,1212,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-03-31T00:00:00,1258,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-04-30T00:00:00,1288,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-05-31T00:00:00,1350,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-06-30T00:00:00,1345,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1963-07-31T00:00:00,1321,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-08-31T00:00:00,1310,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-09-30T00:00:00,1413,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1963-10-31T00:00:00,1414,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-11-30T00:00:00,1357,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1963-12-31T00:00:00,1423,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1964-01-31T00:00:00,1296,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1964-02-29T00:00:00,1442,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1964-03-31T00:00:00,1313,Monthly,UNITEDSTABUIPER,2015-04-25T14:45:00
United States,Building Permits,1964-04-30T00:00:00,1264,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1964-05-31T00:00:00,1299,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1964-06-30T00:00:00,1280,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
United States,Building Permits,1964-07-31T00:00:00,1304,Monthly,UNITEDSTABUIPER,2014-07-17T14:45:00
