Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Capacity Utilization,1967-01-31T00:00:00,89.4,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-02-28T00:00:00,88,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-03-31T00:00:00,87.1,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-04-30T00:00:00,87.5,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-05-31T00:00:00,86.4,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-06-30T00:00:00,86,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-07-31T00:00:00,85.4,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-08-31T00:00:00,86.6,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-09-30T00:00:00,86.1,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-10-31T00:00:00,86.4,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-11-30T00:00:00,87.3,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1967-12-31T00:00:00,87.8,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-01-31T00:00:00,87.4,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-02-29T00:00:00,87.4,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-03-31T00:00:00,87.3,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-04-30T00:00:00,87.1,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-05-31T00:00:00,87.7,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-06-30T00:00:00,87.7,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-07-31T00:00:00,87.2,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-08-31T00:00:00,87.1,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-09-30T00:00:00,87.1,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-10-31T00:00:00,86.9,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-11-30T00:00:00,87.7,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1968-12-31T00:00:00,87.7,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1969-01-31T00:00:00,87.9,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
United States,Capacity Utilization,1969-02-28T00:00:00,88.1,Monthly,UNITEDSTACAPUTI,2024-07-12T10:36:00
