Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Capital Flows,1978-05-31T00:00:00,-3231,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1978-06-30T00:00:00,-488,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1978-07-31T00:00:00,3100,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1978-08-31T00:00:00,1654,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1978-09-30T00:00:00,2396,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1978-10-31T00:00:00,5034,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1978-11-30T00:00:00,-1162,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1978-12-31T00:00:00,-8,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-01-31T00:00:00,7912,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-02-28T00:00:00,184,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-03-31T00:00:00,379,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-04-30T00:00:00,-2650,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1979-05-31T00:00:00,-2828,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-06-30T00:00:00,194,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-07-31T00:00:00,3134,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1979-08-31T00:00:00,10118,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-09-30T00:00:00,-7592,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1979-10-31T00:00:00,668,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-11-30T00:00:00,-466,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1979-12-31T00:00:00,-5817,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1980-01-31T00:00:00,7667,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1980-02-29T00:00:00,6597,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1980-03-31T00:00:00,-8450,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1980-04-30T00:00:00,-7605,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1980-05-31T00:00:00,-4185,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1980-06-30T00:00:00,-5594,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1980-07-31T00:00:00,1749,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1980-08-31T00:00:00,407,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1980-09-30T00:00:00,-6555,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1980-10-31T00:00:00,3730,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1980-11-30T00:00:00,6494,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1980-12-31T00:00:00,-4082,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1981-01-31T00:00:00,4479,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1981-02-28T00:00:00,1227,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1981-03-31T00:00:00,-11720,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1981-04-30T00:00:00,7838,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1981-05-31T00:00:00,1824,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1981-06-30T00:00:00,-13435,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1981-07-31T00:00:00,4915,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1981-08-31T00:00:00,-6426,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1981-09-30T00:00:00,-1386,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1981-10-31T00:00:00,-2919,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1981-11-30T00:00:00,-1675,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1981-12-31T00:00:00,-8135,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-01-31T00:00:00,3446,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-02-28T00:00:00,-4557,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-03-31T00:00:00,-2224,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-04-30T00:00:00,-4267,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-05-31T00:00:00,-1907,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1982-06-30T00:00:00,-2452,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-07-31T00:00:00,-9261,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-08-31T00:00:00,410,Monthly,UNITEDSTACAPFLO,2015-04-25T14:46:00
United States,Capital Flows,1982-09-30T00:00:00,-4200,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-10-31T00:00:00,6197,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-11-30T00:00:00,-420,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
United States,Capital Flows,1982-12-31T00:00:00,-12413,Monthly,UNITEDSTACAPFLO,2014-08-15T14:02:00
