Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Car Registrations,1967-01-31T00:00:00,612.2,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-02-28T00:00:00,558.5,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-03-31T00:00:00,735.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-04-30T00:00:00,773.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-05-31T00:00:00,814.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-06-30T00:00:00,854.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-07-31T00:00:00,696.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-08-31T00:00:00,594.5,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-09-30T00:00:00,615.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-10-31T00:00:00,735.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-11-30T00:00:00,683.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1967-12-31T00:00:00,672.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-01-31T00:00:00,702.2,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-02-29T00:00:00,699.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-03-31T00:00:00,850.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-04-30T00:00:00,814.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-05-31T00:00:00,900.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-06-30T00:00:00,872.2,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-07-31T00:00:00,828.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-08-31T00:00:00,727.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-09-30T00:00:00,663,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-10-31T00:00:00,980.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-11-30T00:00:00,864.2,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1968-12-31T00:00:00,750.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-01-31T00:00:00,729.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-02-28T00:00:00,725.5,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-03-31T00:00:00,809.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-04-30T00:00:00,854.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-05-31T00:00:00,901.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-06-30T00:00:00,897.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-07-31T00:00:00,760.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-08-31T00:00:00,654.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-09-30T00:00:00,807.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-10-31T00:00:00,922.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-11-30T00:00:00,797.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1969-12-31T00:00:00,720.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-01-31T00:00:00,624.5,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-02-28T00:00:00,685.5,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-03-31T00:00:00,745.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-04-30T00:00:00,798.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-05-31T00:00:00,810.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-06-30T00:00:00,924.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-07-31T00:00:00,761.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-08-31T00:00:00,639,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-09-30T00:00:00,580.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-10-31T00:00:00,754.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-11-30T00:00:00,539.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1970-12-31T00:00:00,537.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-01-31T00:00:00,692.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-02-28T00:00:00,747,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-03-31T00:00:00,897.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-04-30T00:00:00,881.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-05-31T00:00:00,886.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-06-30T00:00:00,954.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-07-31T00:00:00,816.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-08-31T00:00:00,723.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-09-30T00:00:00,884.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-10-31T00:00:00,1047.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-11-30T00:00:00,956.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1971-12-31T00:00:00,739.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-01-31T00:00:00,716.2,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-02-29T00:00:00,808.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-03-31T00:00:00,906.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-04-30T00:00:00,894.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-05-31T00:00:00,1024.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-06-30T00:00:00,1017.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-07-31T00:00:00,897.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-08-31T00:00:00,807.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-09-30T00:00:00,871.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-10-31T00:00:00,1063.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-11-30T00:00:00,1023.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1972-12-31T00:00:00,842.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-01-31T00:00:00,867.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-02-28T00:00:00,912.2,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-03-31T00:00:00,1133,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-04-30T00:00:00,1015.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-05-31T00:00:00,1134.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-06-30T00:00:00,1075.3,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-07-31T00:00:00,952.4,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-08-31T00:00:00,828.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-09-30T00:00:00,868.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-10-31T00:00:00,969.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-11-30T00:00:00,905.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1973-12-31T00:00:00,687.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-01-31T00:00:00,672.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-02-28T00:00:00,676.7,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-03-31T00:00:00,769.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-04-30T00:00:00,806.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-05-31T00:00:00,872,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-06-30T00:00:00,799.9,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-07-31T00:00:00,800.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-08-31T00:00:00,802.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-09-30T00:00:00,720.2,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-10-31T00:00:00,751,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-11-30T00:00:00,598.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1974-12-31T00:00:00,502.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1975-01-31T00:00:00,572.5,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1975-02-28T00:00:00,678.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1975-03-31T00:00:00,662,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1975-04-30T00:00:00,651.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1975-05-31T00:00:00,730.1,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1975-06-30T00:00:00,759.6,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
United States,Car Registrations,1975-07-31T00:00:00,782.8,Monthly,UNITEDSTACARREG,2023-04-24T14:05:00
