Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Case Shiller Home Price Index,2000-01-31T00:00:00,100,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-02-29T00:00:00,100.76,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-03-31T00:00:00,101.95,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-04-30T00:00:00,103.5,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-05-31T00:00:00,105.2,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-06-30T00:00:00,106.76,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-07-31T00:00:00,107.77,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-08-31T00:00:00,108.64,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-09-30T00:00:00,109.35,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-10-31T00:00:00,110.04,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-11-30T00:00:00,110.81,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2000-12-31T00:00:00,111.58,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2001-01-31T00:00:00,112.39,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2001-02-28T00:00:00,113.07,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2001-03-31T00:00:00,114.14,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2001-04-30T00:00:00,115.29,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2001-05-31T00:00:00,116.24,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2001-06-30T00:00:00,117.29,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2001-07-31T00:00:00,118.2,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
United States,Case Shiller Home Price Index,2001-08-31T00:00:00,119.09,Monthly,UNITEDSTACASSHIHOMPR,2014-10-20T16:30:00
