Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Central Bank Balance Sheet,2002-12-18T00:00:00,719542,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2002-12-25T00:00:00,732059,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-01-01T00:00:00,730994,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-01-08T00:00:00,723762,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-01-15T00:00:00,720074,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-01-22T00:00:00,735953,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-01-29T00:00:00,712809,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-02-05T00:00:00,719643,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-02-12T00:00:00,713281,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-02-19T00:00:00,730400,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-02-26T00:00:00,721980,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-03-05T00:00:00,722649,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-03-12T00:00:00,717014,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-03-19T00:00:00,729923,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
United States,Central Bank Balance Sheet,2003-03-26T00:00:00,725019,Weekly,UNITEDSTACENBANBALSH,2021-04-19T16:16:00
