Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Challenger Job Cuts,1994-01-31T00:00:00,108900,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1994-02-28T00:00:00,34600,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1994-03-31T00:00:00,49000,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1994-04-30T00:00:00,36100,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1994-05-31T00:00:00,36300,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1994-06-30T00:00:00,35000,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1994-07-31T00:00:00,19100,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1994-08-31T00:00:00,46400,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1994-09-30T00:00:00,52200,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1994-10-31T00:00:00,42400,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1994-11-30T00:00:00,28500,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1994-12-31T00:00:00,27500,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1995-01-31T00:00:00,39000,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1995-02-28T00:00:00,30900,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1995-03-31T00:00:00,27800,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1995-04-30T00:00:00,15700,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1995-05-31T00:00:00,58500,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1995-06-30T00:00:00,40400,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1995-07-31T00:00:00,23300,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1995-08-31T00:00:00,33300,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1995-09-30T00:00:00,33200,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1995-10-31T00:00:00,41300,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1995-11-30T00:00:00,41300,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1995-12-31T00:00:00,55200,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-01-31T00:00:00,97400,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-02-29T00:00:00,33800,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-03-31T00:00:00,37500,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-04-30T00:00:00,30800,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-05-31T00:00:00,30800,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-06-30T00:00:00,40200,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1996-07-31T00:00:00,41800,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-08-31T00:00:00,20300,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-09-30T00:00:00,29600,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1996-10-31T00:00:00,47900,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-11-30T00:00:00,29500,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1996-12-31T00:00:00,37400,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1997-01-31T00:00:00,43600,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1997-02-28T00:00:00,40500,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1997-03-31T00:00:00,50200,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1997-04-30T00:00:00,15200,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1997-05-31T00:00:00,21000,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1997-06-30T00:00:00,15100,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1997-07-31T00:00:00,48300,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1997-08-31T00:00:00,26900,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1997-09-30T00:00:00,20700,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1997-10-31T00:00:00,47300,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1997-11-30T00:00:00,47200,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1997-12-31T00:00:00,58300,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1998-01-31T00:00:00,72200,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1998-02-28T00:00:00,43900,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1998-03-31T00:00:00,23000,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1998-04-30T00:00:00,48800,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1998-05-31T00:00:00,27600,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1998-06-30T00:00:00,54900,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1998-07-31T00:00:00,50800,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1998-08-31T00:00:00,37200,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1998-09-30T00:00:00,73100,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1998-10-31T00:00:00,91500,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1998-11-30T00:00:00,51600,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1998-12-31T00:00:00,103200,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1999-01-31T00:00:00,79700,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1999-02-28T00:00:00,61900,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1999-03-31T00:00:00,69000,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1999-04-30T00:00:00,54400,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1999-05-31T00:00:00,55200,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
United States,Challenger Job Cuts,1999-06-30T00:00:00,63400,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1999-07-31T00:00:00,54700,Monthly,UNITEDSTACHAJOBCUT,2014-03-06T12:35:00
United States,Challenger Job Cuts,1999-08-31T00:00:00,57300,Monthly,UNITEDSTACHAJOBCUT,2015-04-25T14:49:00
