Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Coincident Index,1979-01-31T00:00:00,45.36,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-02-28T00:00:00,45.51,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-03-31T00:00:00,45.75,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-04-30T00:00:00,45.82,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-05-31T00:00:00,46.05,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-06-30T00:00:00,46.18,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-07-31T00:00:00,46.29,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-08-31T00:00:00,46.35,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-09-30T00:00:00,46.44,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-10-31T00:00:00,46.53,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-11-30T00:00:00,46.65,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1979-12-31T00:00:00,46.7,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-01-31T00:00:00,46.74,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-02-29T00:00:00,46.84,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-03-31T00:00:00,46.91,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-04-30T00:00:00,46.8,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-05-31T00:00:00,46.64,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-06-30T00:00:00,46.54,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-07-31T00:00:00,46.43,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-08-31T00:00:00,46.53,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-09-30T00:00:00,46.64,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-10-31T00:00:00,46.77,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-11-30T00:00:00,46.91,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1980-12-31T00:00:00,47.11,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-01-31T00:00:00,47.16,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-02-28T00:00:00,47.31,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-03-31T00:00:00,47.38,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-04-30T00:00:00,47.52,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-05-31T00:00:00,47.53,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-06-30T00:00:00,47.66,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-07-31T00:00:00,47.81,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-08-31T00:00:00,47.81,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-09-30T00:00:00,47.82,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-10-31T00:00:00,47.77,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-11-30T00:00:00,47.7,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1981-12-31T00:00:00,47.62,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-01-31T00:00:00,47.54,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-02-28T00:00:00,47.5,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-03-31T00:00:00,47.47,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-04-30T00:00:00,47.37,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-05-31T00:00:00,47.38,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-06-30T00:00:00,47.3,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-07-31T00:00:00,47.2,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-08-31T00:00:00,47.2,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-09-30T00:00:00,47.1,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-10-31T00:00:00,46.99,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-11-30T00:00:00,46.9,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1982-12-31T00:00:00,46.95,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-01-31T00:00:00,47.12,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-02-28T00:00:00,47.15,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-03-31T00:00:00,47.29,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-04-30T00:00:00,47.46,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-05-31T00:00:00,47.64,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-06-30T00:00:00,47.83,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-07-31T00:00:00,48.19,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-08-31T00:00:00,48.16,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-09-30T00:00:00,48.64,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-10-31T00:00:00,48.91,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-11-30T00:00:00,49.19,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1983-12-31T00:00:00,49.46,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-01-31T00:00:00,49.76,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-02-29T00:00:00,50.06,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-03-31T00:00:00,50.28,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-04-30T00:00:00,50.54,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-05-31T00:00:00,50.81,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-06-30T00:00:00,51.09,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-07-31T00:00:00,51.23,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-08-31T00:00:00,51.44,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-09-30T00:00:00,51.69,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-10-31T00:00:00,51.86,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-11-30T00:00:00,52.12,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1984-12-31T00:00:00,52.24,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-01-31T00:00:00,52.43,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-02-28T00:00:00,52.59,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-03-31T00:00:00,52.79,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-04-30T00:00:00,52.94,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-05-31T00:00:00,53.15,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-06-30T00:00:00,53.24,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-07-31T00:00:00,53.41,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-08-31T00:00:00,53.63,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-09-30T00:00:00,53.78,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-10-31T00:00:00,53.94,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-11-30T00:00:00,54.13,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1985-12-31T00:00:00,54.28,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-01-31T00:00:00,54.49,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-02-28T00:00:00,54.51,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-03-31T00:00:00,54.64,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-04-30T00:00:00,54.81,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-05-31T00:00:00,54.92,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-06-30T00:00:00,55,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-07-31T00:00:00,55.23,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-08-31T00:00:00,55.37,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-09-30T00:00:00,55.55,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-10-31T00:00:00,55.72,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-11-30T00:00:00,55.89,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1986-12-31T00:00:00,56.13,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-01-31T00:00:00,56.28,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-02-28T00:00:00,56.45,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-03-31T00:00:00,56.64,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-04-30T00:00:00,56.92,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-05-31T00:00:00,57.09,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-06-30T00:00:00,57.29,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-07-31T00:00:00,57.51,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-08-31T00:00:00,57.7,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-09-30T00:00:00,57.9,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-10-31T00:00:00,58.14,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-11-30T00:00:00,58.38,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1987-12-31T00:00:00,58.62,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-01-31T00:00:00,58.77,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-02-29T00:00:00,59.03,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-03-31T00:00:00,59.24,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-04-30T00:00:00,59.51,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-05-31T00:00:00,59.66,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-06-30T00:00:00,59.95,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-07-31T00:00:00,60.13,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-08-31T00:00:00,60.24,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-09-30T00:00:00,60.51,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-10-31T00:00:00,60.7,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-11-30T00:00:00,60.96,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1988-12-31T00:00:00,61.16,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-01-31T00:00:00,61.33,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-02-28T00:00:00,61.59,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-03-31T00:00:00,61.82,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-04-30T00:00:00,61.93,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-05-31T00:00:00,62.09,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-06-30T00:00:00,62.18,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-07-31T00:00:00,62.31,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-08-31T00:00:00,62.41,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-09-30T00:00:00,62.55,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-10-31T00:00:00,62.68,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-11-30T00:00:00,62.83,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1989-12-31T00:00:00,62.96,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-01-31T00:00:00,63.16,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-02-28T00:00:00,63.37,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-03-31T00:00:00,63.56,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-04-30T00:00:00,63.63,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-05-31T00:00:00,63.79,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-06-30T00:00:00,63.95,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-07-31T00:00:00,63.96,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-08-31T00:00:00,63.95,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-09-30T00:00:00,63.94,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-10-31T00:00:00,63.97,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-11-30T00:00:00,63.91,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1990-12-31T00:00:00,63.9,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-01-31T00:00:00,63.9,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-02-28T00:00:00,63.8,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-03-31T00:00:00,63.72,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-04-30T00:00:00,63.71,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-05-31T00:00:00,63.68,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-06-30T00:00:00,63.75,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-07-31T00:00:00,63.84,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-08-31T00:00:00,63.88,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-09-30T00:00:00,63.97,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-10-31T00:00:00,64.04,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-11-30T00:00:00,64.09,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1991-12-31T00:00:00,64.09,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-01-31T00:00:00,64.21,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-02-29T00:00:00,64.23,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-03-31T00:00:00,64.36,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-04-30T00:00:00,64.5,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-05-31T00:00:00,64.58,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-06-30T00:00:00,64.67,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-07-31T00:00:00,64.83,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-08-31T00:00:00,64.99,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-09-30T00:00:00,65.1,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-10-31T00:00:00,65.33,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-11-30T00:00:00,65.43,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1992-12-31T00:00:00,65.63,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-01-31T00:00:00,65.84,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-02-28T00:00:00,66.11,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-03-31T00:00:00,66.21,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-04-30T00:00:00,66.37,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-05-31T00:00:00,66.56,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-06-30T00:00:00,66.77,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-07-31T00:00:00,67.01,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-08-31T00:00:00,67.21,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-09-30T00:00:00,67.43,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-10-31T00:00:00,67.58,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-11-30T00:00:00,67.86,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1993-12-31T00:00:00,68.13,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-01-31T00:00:00,68.31,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-02-28T00:00:00,68.53,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-03-31T00:00:00,68.83,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-04-30T00:00:00,69.11,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-05-31T00:00:00,69.44,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-06-30T00:00:00,69.69,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-07-31T00:00:00,69.95,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-08-31T00:00:00,70.24,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-09-30T00:00:00,70.51,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-10-31T00:00:00,70.74,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
United States,Coincident Index,1994-11-30T00:00:00,71.07,Monthly,USACOINCIDENTINDEX,2025-04-03T10:17:00
