Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Composite Leading Indicator,1955-01-31T00:00:00,101.462,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-02-28T00:00:00,101.8204,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-03-31T00:00:00,102.1169,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-04-30T00:00:00,102.3255,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-05-31T00:00:00,102.4459,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-06-30T00:00:00,102.4855,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-07-31T00:00:00,102.4872,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-08-31T00:00:00,102.4718,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-09-30T00:00:00,102.4447,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-10-31T00:00:00,102.3896,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-11-30T00:00:00,102.2724,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1955-12-31T00:00:00,102.0684,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-01-31T00:00:00,101.771,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-02-29T00:00:00,101.4262,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-03-31T00:00:00,101.0888,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-04-30T00:00:00,100.7745,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-05-31T00:00:00,100.5024,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-06-30T00:00:00,100.3158,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-07-31T00:00:00,100.249,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-08-31T00:00:00,100.3031,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-09-30T00:00:00,100.423,Monthly,USACLI,2025-02-08T10:05:00
United States,Composite Leading Indicator,1956-10-31T00:00:00,100.5495,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1956-11-30T00:00:00,100.6332,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1956-12-31T00:00:00,100.6261,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-01-31T00:00:00,100.5088,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-02-28T00:00:00,100.3261,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-03-31T00:00:00,100.0826,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-04-30T00:00:00,99.8169,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-05-31T00:00:00,99.5583,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-06-30T00:00:00,99.2822,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-07-31T00:00:00,98.9548,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-08-31T00:00:00,98.5548,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-09-30T00:00:00,98.085,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-10-31T00:00:00,97.591,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-11-30T00:00:00,97.1436,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1957-12-31T00:00:00,96.7972,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-01-31T00:00:00,96.6139,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-02-28T00:00:00,96.629,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-03-31T00:00:00,96.838,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-04-30T00:00:00,97.2159,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-05-31T00:00:00,97.7471,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-06-30T00:00:00,98.3816,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-07-31T00:00:00,99.0524,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-08-31T00:00:00,99.7161,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-09-30T00:00:00,100.353,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-10-31T00:00:00,100.9638,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-11-30T00:00:00,101.5363,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1958-12-31T00:00:00,102.0581,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1959-01-31T00:00:00,102.5293,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1959-02-28T00:00:00,102.9051,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1959-03-31T00:00:00,103.1432,Monthly,USACLI,2025-02-08T10:06:00
United States,Composite Leading Indicator,1959-04-30T00:00:00,103.2182,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1959-05-31T00:00:00,103.1222,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1959-06-30T00:00:00,102.8663,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1959-07-31T00:00:00,102.494,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1959-08-31T00:00:00,102.0814,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1959-09-30T00:00:00,101.7006,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1959-10-31T00:00:00,101.3943,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1959-11-30T00:00:00,101.1692,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1959-12-31T00:00:00,100.992,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1960-01-31T00:00:00,100.7653,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1960-02-29T00:00:00,100.4568,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1960-03-31T00:00:00,100.1153,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1960-04-30T00:00:00,99.7924,Monthly,USACLI,2025-02-08T10:07:00
United States,Composite Leading Indicator,1960-05-31T00:00:00,99.5103,Monthly,USACLI,2025-02-08T10:07:00
