Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Consumer Confidence,1952-11-30T00:00:00,86.2,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1953-02-28T00:00:00,90.7,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1953-08-31T00:00:00,80.8,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1953-11-30T00:00:00,80.7,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1954-02-28T00:00:00,82,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1954-05-31T00:00:00,82.9,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1954-11-30T00:00:00,87,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1955-02-28T00:00:00,95.9,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1955-05-31T00:00:00,99.1,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1955-11-30T00:00:00,99.7,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1956-05-31T00:00:00,98.2,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1956-08-31T00:00:00,99.9,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1956-11-30T00:00:00,100.2,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1957-05-31T00:00:00,92.9,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1957-11-30T00:00:00,83.7,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1958-02-28T00:00:00,78.5,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1958-05-31T00:00:00,80.9,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1958-11-30T00:00:00,90.8,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1959-05-31T00:00:00,95.3,Monthly,CONCCONF,2014-10-17T15:17:00
United States,Consumer Confidence,1959-11-30T00:00:00,93.8,Monthly,CONCCONF,2014-10-17T15:17:00
