Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Consumer Spending,1947-03-31T00:00:00,1351.4,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1947-06-30T00:00:00,1373.9,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1947-09-30T00:00:00,1378.4,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1947-12-31T00:00:00,1378.8,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1948-03-31T00:00:00,1385.7,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1948-06-30T00:00:00,1401.8,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1948-09-30T00:00:00,1403.9,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1948-12-31T00:00:00,1415.1,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1949-03-31T00:00:00,1417.4,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1949-06-30T00:00:00,1439.1,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1949-09-30T00:00:00,1442.3,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1949-12-31T00:00:00,1463.5,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1950-03-31T00:00:00,1487.9,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1950-06-30T00:00:00,1512.4,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1950-09-30T00:00:00,1590,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1950-12-31T00:00:00,1542.1,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1951-03-31T00:00:00,1579.4,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1951-06-30T00:00:00,1534.7,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1951-09-30T00:00:00,1552.6,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1951-12-31T00:00:00,1561.7,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1952-03-31T00:00:00,1565.3,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
United States,Consumer Spending,1952-06-30T00:00:00,1595.9,Quarterly,UNITEDSTACONSPE,2024-09-26T13:59:00
