Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Continued Jobless Claims - Federal Workers,1984-06-09T00:00:00,931,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1984-08-04T00:00:00,979,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1984-08-11T00:00:00,218,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-04-06T00:00:00,614,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-09-28T00:00:00,1142,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-10-05T00:00:00,1206,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-10-12T00:00:00,872,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-10-19T00:00:00,1035,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-10-26T00:00:00,814,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-11-02T00:00:00,993,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-11-09T00:00:00,922,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-11-16T00:00:00,1118,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-11-23T00:00:00,1012,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-11-30T00:00:00,1253,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-12-07T00:00:00,1255,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-12-14T00:00:00,1467,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-12-21T00:00:00,1351,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1985-12-28T00:00:00,1000,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-01-04T00:00:00,1743,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-01-11T00:00:00,1655,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-01-18T00:00:00,2563,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-01-25T00:00:00,3252,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-02-01T00:00:00,8610,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-02-08T00:00:00,23239,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-02-15T00:00:00,26518,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-02-22T00:00:00,25380,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-03-01T00:00:00,27617,Weekly,USACJCFW,2025-04-10T13:32:00
United States,Continued Jobless Claims - Federal Workers,1986-03-08T00:00:00,24534,Weekly,USACJCFW,2025-04-10T13:32:00
