Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Core PCE Price Index,1959-01-31T00:00:00,15.501,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-02-28T00:00:00,15.513,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-03-31T00:00:00,15.531,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-04-30T00:00:00,15.57,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-05-31T00:00:00,15.589,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-06-30T00:00:00,15.635,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-07-31T00:00:00,15.672,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-08-31T00:00:00,15.697,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-09-30T00:00:00,15.738,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-10-31T00:00:00,15.765,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-11-30T00:00:00,15.794,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1959-12-31T00:00:00,15.818,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-01-31T00:00:00,15.822,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-02-29T00:00:00,15.852,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-03-31T00:00:00,15.853,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-04-30T00:00:00,15.882,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-05-31T00:00:00,15.908,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-06-30T00:00:00,15.917,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-07-31T00:00:00,15.945,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-08-31T00:00:00,15.968,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-09-30T00:00:00,15.981,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-10-31T00:00:00,15.99,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
United States,Core PCE Price Index,1960-11-30T00:00:00,16.033,Monthly,UNITEDSTACORPCEPRIIN,2023-12-14T10:47:00
