Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Core PCE Price Index Annual Change,1960-01-31T00:00:00,2.067,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-02-29T00:00:00,2.18,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-03-31T00:00:00,2.081,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-04-30T00:00:00,2.005,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-05-31T00:00:00,2.038,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-06-30T00:00:00,1.806,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-07-31T00:00:00,1.749,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-08-31T00:00:00,1.728,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-09-30T00:00:00,1.54,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-10-31T00:00:00,1.426,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-11-30T00:00:00,1.511,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1960-12-31T00:00:00,1.327,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1961-01-31T00:00:00,1.327,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1961-02-28T00:00:00,1.236,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1961-03-31T00:00:00,1.26,Monthly,USACPPIAC,2022-12-23T14:47:00
United States,Core PCE Price Index Annual Change,1961-04-30T00:00:00,1.217,Monthly,USACPPIAC,2022-12-23T14:47:00
