Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Core Producer Prices MoM,2010-05-31T00:00:00,0.3,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2010-06-30T00:00:00,-0.1,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2010-07-31T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2010-08-31T00:00:00,0,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2010-09-30T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2010-10-31T00:00:00,0.1,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2010-11-30T00:00:00,0.1,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2010-12-31T00:00:00,0.1,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-01-31T00:00:00,0.4,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-02-28T00:00:00,0.3,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-03-31T00:00:00,0.5,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-04-30T00:00:00,0.3,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-05-31T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-06-30T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-07-31T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-08-31T00:00:00,0.4,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-09-30T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-10-31T00:00:00,-0.3,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-11-30T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2011-12-31T00:00:00,0,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2012-01-31T00:00:00,0.4,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2012-02-29T00:00:00,0.3,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2012-03-31T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2012-04-30T00:00:00,0.3,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2012-05-31T00:00:00,0.2,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2012-06-30T00:00:00,-0.1,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2012-07-31T00:00:00,-0.1,Monthly,USACPPM,2021-12-02T16:37:00
United States,Core Producer Prices MoM,2012-08-31T00:00:00,-0.1,Monthly,USACPPM,2021-12-02T16:37:00
