Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Corporate Tax Rate,1909-12-30T23:59:43,1,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1910-12-30T23:59:43,1,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1911-12-30T23:59:43,1,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1912-12-30T23:59:43,1,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1913-12-30T23:59:43,1,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1914-12-30T23:59:43,1,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1915-12-30T23:59:43,1,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1916-12-30T23:59:41,2,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1917-12-30T23:59:41,6,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1918-12-30T23:59:41,12,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1919-12-31T00:00:00,10,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1920-12-31T00:00:00,10,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1921-12-31T00:00:00,10,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1922-12-31T00:00:00,12.5,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1923-12-31T00:00:00,12.5,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1924-12-31T00:00:00,12.5,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1925-12-31T00:00:00,13,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1926-12-31T00:00:00,13.5,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1927-12-31T00:00:00,13.5,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1928-12-31T00:00:00,12,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1929-12-31T00:00:00,11,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1930-12-31T00:00:00,12,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1931-12-31T00:00:00,12,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1932-12-31T00:00:00,13.75,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1933-12-31T00:00:00,13.75,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1934-12-31T00:00:00,13.75,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1935-12-31T00:00:00,13.75,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1936-12-31T00:00:00,15,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1937-12-31T00:00:00,15,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1938-12-31T00:00:00,19,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1939-12-31T00:00:00,19,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1940-12-31T00:00:00,24,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1941-12-31T00:00:00,31,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1942-12-31T00:00:00,40,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1943-12-31T00:00:00,40,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1944-12-31T00:00:00,40,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1945-12-31T00:00:00,40,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1946-12-31T00:00:00,38,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1947-12-31T00:00:00,38,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1948-12-31T00:00:00,38,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1949-12-31T00:00:00,38,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1950-12-31T00:00:00,42,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1951-12-31T00:00:00,51,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1952-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1953-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1954-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1955-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1956-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1957-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1958-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1959-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1960-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1961-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1962-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1963-12-31T00:00:00,52,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1964-12-31T00:00:00,50,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1965-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1966-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1967-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1968-12-31T00:00:00,52.8,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1969-12-31T00:00:00,52.8,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1970-12-31T00:00:00,49.2,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1971-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1972-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1973-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1974-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1975-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1976-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1977-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1978-12-31T00:00:00,48,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1979-12-31T00:00:00,46,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1980-12-31T00:00:00,46,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1981-12-31T00:00:00,46,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1982-12-31T00:00:00,46,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1983-12-31T00:00:00,46,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1984-12-31T00:00:00,46,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1985-12-31T00:00:00,46,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1986-12-31T00:00:00,46,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1987-12-31T00:00:00,40,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1988-12-31T00:00:00,34,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1989-12-31T00:00:00,34,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1990-12-31T00:00:00,34,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1991-12-31T00:00:00,34,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1992-12-31T00:00:00,34,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1993-12-31T00:00:00,35,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1994-12-31T00:00:00,35,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1995-12-31T00:00:00,35,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1996-12-31T00:00:00,35,Yearly,USACORPTAX,2017-09-28T08:19:00
United States,Corporate Tax Rate,1997-12-31T00:00:00,35,Yearly,USACORPTAX,2017-09-28T08:19:00
