Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Corruption Rank,1995-12-31T00:00:00,15,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,1996-12-31T00:00:00,15,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,1997-12-31T00:00:00,16,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,1998-12-31T00:00:00,17,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,1999-12-31T00:00:00,18,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2000-12-31T00:00:00,14,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2001-12-31T00:00:00,16,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2002-12-31T00:00:00,16,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2003-12-31T00:00:00,18,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2004-12-31T00:00:00,17,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2005-12-31T00:00:00,17,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2006-12-31T00:00:00,20,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2007-12-31T00:00:00,20,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2008-12-31T00:00:00,18,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2009-12-31T00:00:00,19,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2010-12-31T00:00:00,22,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2011-12-31T00:00:00,24,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2012-12-31T00:00:00,19,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2013-12-31T00:00:00,19,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2014-12-31T00:00:00,17,Yearly,UNITEDSTACORRAN,2015-06-12T17:37:00
United States,Corruption Rank,2015-12-31T00:00:00,16,Yearly,UNITEDSTACORRAN,2016-01-27T16:52:00
United States,Corruption Rank,2016-12-31T00:00:00,18,Yearly,UNITEDSTACORRAN,2017-01-26T14:34:00
United States,Corruption Rank,2017-12-31T00:00:00,16,Yearly,UNITEDSTACORRAN,2018-03-21T17:39:00
United States,Corruption Rank,2018-12-31T00:00:00,22,Yearly,UNITEDSTACORRAN,2019-01-29T12:19:00
United States,Corruption Rank,2019-12-31T00:00:00,23,Yearly,UNITEDSTACORRAN,2020-01-23T09:45:00
United States,Corruption Rank,2020-12-31T00:00:00,25,Yearly,UNITEDSTACORRAN,2021-02-02T14:20:00
United States,Corruption Rank,2021-12-31T00:00:00,27,Yearly,UNITEDSTACORRAN,2022-04-04T10:48:00
United States,Corruption Rank,2022-12-31T00:00:00,24,Yearly,UNITEDSTACORRAN,2023-01-31T15:47:00
United States,Corruption Rank,2023-12-31T00:00:00,24,Yearly,UNITEDSTACORRAN,2024-01-30T14:57:00
United States,Corruption Rank,2024-12-31T00:00:00,28,Yearly,UNITEDSTACORRAN,2025-02-11T09:27:00
