Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,CPI Housing Utilities,1967-01-31T00:00:00,30.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-02-28T00:00:00,30.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-03-31T00:00:00,30.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-04-30T00:00:00,30.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-05-31T00:00:00,30.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-06-30T00:00:00,30.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-07-31T00:00:00,30.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-08-31T00:00:00,30.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-09-30T00:00:00,30.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-10-31T00:00:00,31,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-11-30T00:00:00,31.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1967-12-31T00:00:00,31.2,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-01-31T00:00:00,31.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-02-29T00:00:00,31.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-03-31T00:00:00,31.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-04-30T00:00:00,31.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-05-31T00:00:00,31.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-06-30T00:00:00,31.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-07-31T00:00:00,32.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-08-31T00:00:00,32.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-09-30T00:00:00,32.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-10-31T00:00:00,32.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-11-30T00:00:00,32.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1968-12-31T00:00:00,32.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-01-31T00:00:00,32.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-02-28T00:00:00,33.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-03-31T00:00:00,33.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-04-30T00:00:00,33.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-05-31T00:00:00,33.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-06-30T00:00:00,33.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-07-31T00:00:00,34.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-08-31T00:00:00,34.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-09-30T00:00:00,34.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-10-31T00:00:00,34.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-11-30T00:00:00,34.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1969-12-31T00:00:00,35,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-01-31T00:00:00,35.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-02-28T00:00:00,35.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-03-31T00:00:00,35.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-04-30T00:00:00,36,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-05-31T00:00:00,36.2,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-06-30T00:00:00,36.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-07-31T00:00:00,36.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-08-31T00:00:00,36.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-09-30T00:00:00,36.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-10-31T00:00:00,37.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-11-30T00:00:00,37.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1970-12-31T00:00:00,37.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-01-31T00:00:00,37.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-02-28T00:00:00,37.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-03-31T00:00:00,37.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-04-30T00:00:00,37.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-05-31T00:00:00,37.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-06-30T00:00:00,37.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-07-31T00:00:00,38.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-08-31T00:00:00,38.2,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-09-30T00:00:00,38.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-10-31T00:00:00,38.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-11-30T00:00:00,38.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1971-12-31T00:00:00,38.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-01-31T00:00:00,38.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-02-29T00:00:00,39,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-03-31T00:00:00,39.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-04-30T00:00:00,39.2,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-05-31T00:00:00,39.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-06-30T00:00:00,39.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-07-31T00:00:00,39.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-08-31T00:00:00,39.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-09-30T00:00:00,39.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-10-31T00:00:00,39.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-11-30T00:00:00,39.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1972-12-31T00:00:00,40.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-01-31T00:00:00,40.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-02-28T00:00:00,40.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-03-31T00:00:00,40.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-04-30T00:00:00,40.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-05-31T00:00:00,40.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-06-30T00:00:00,40.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-07-31T00:00:00,40.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-08-31T00:00:00,41.2,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-09-30T00:00:00,41.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-10-31T00:00:00,42.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-11-30T00:00:00,42.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1973-12-31T00:00:00,42.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-01-31T00:00:00,43.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-02-28T00:00:00,43.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-03-31T00:00:00,44.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-04-30T00:00:00,44.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-05-31T00:00:00,44.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-06-30T00:00:00,45.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-07-31T00:00:00,45.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-08-31T00:00:00,46.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-09-30T00:00:00,47.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-10-31T00:00:00,47.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-11-30T00:00:00,48.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1974-12-31T00:00:00,48.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-01-31T00:00:00,49,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-02-28T00:00:00,49.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-03-31T00:00:00,49.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-04-30T00:00:00,50,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-05-31T00:00:00,50.2,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-06-30T00:00:00,50.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-07-31T00:00:00,50.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-08-31T00:00:00,50.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-09-30T00:00:00,51.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-10-31T00:00:00,51.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-11-30T00:00:00,52,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1975-12-31T00:00:00,52.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-01-31T00:00:00,52.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-02-29T00:00:00,52.7,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-03-31T00:00:00,53,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-04-30T00:00:00,53.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-05-31T00:00:00,53.3,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-06-30T00:00:00,53.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-07-31T00:00:00,53.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-08-31T00:00:00,54.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-09-30T00:00:00,54.4,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-10-31T00:00:00,54.6,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-11-30T00:00:00,54.8,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1976-12-31T00:00:00,55.1,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1977-01-31T00:00:00,55.5,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
United States,CPI Housing Utilities,1977-02-28T00:00:00,55.9,Monthly,UNITEDSTACHU,2017-05-03T17:01:00
