Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Credit Card Accounts,2003-03-31T00:00:00,469.81,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2003-06-30T00:00:00,468.94,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2003-09-30T00:00:00,457.64,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2003-12-31T00:00:00,452.71,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2004-03-31T00:00:00,449.62,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2004-06-30T00:00:00,458.26,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2004-09-30T00:00:00,447.07,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2004-12-31T00:00:00,448.43,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2005-03-31T00:00:00,451.95,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2005-06-30T00:00:00,450.14,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2005-09-30T00:00:00,452.34,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2005-12-31T00:00:00,455.91,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2006-03-31T00:00:00,458.41,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2006-06-30T00:00:00,460.35,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2006-09-30T00:00:00,454.64,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2006-12-31T00:00:00,451.28,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2007-03-31T00:00:00,444.88,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2007-06-30T00:00:00,474.74,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2007-09-30T00:00:00,478.86,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2007-12-31T00:00:00,481.44,Quarterly,USACCA,2022-05-17T13:34:00
United States,Credit Card Accounts,2008-03-31T00:00:00,474.57,Quarterly,USACCA,2022-05-17T13:34:00
