Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Currency,1987-12-22T00:00:00,88.15,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1987-12-23T00:00:00,88.52,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1987-12-24T00:00:00,88.11,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1987-12-25T00:00:00,88.11,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1987-12-28T00:00:00,86.8,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1987-12-29T00:00:00,86.68,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1987-12-30T00:00:00,86.64,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1987-12-31T00:00:00,85.42,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-01T00:00:00,85.42,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-04T00:00:00,86.06,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-05T00:00:00,88.42,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-06T00:00:00,89.09,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-07T00:00:00,89.17,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-08T00:00:00,89,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-11T00:00:00,88.79,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-12T00:00:00,88.38,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-13T00:00:00,88.5,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-14T00:00:00,88.19,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-15T00:00:00,90.75,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-18T00:00:00,90.45,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-19T00:00:00,90.22,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-20T00:00:00,89.31,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-21T00:00:00,89.52,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-22T00:00:00,89.69,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-25T00:00:00,90.27,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-26T00:00:00,90.01,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-27T00:00:00,89.76,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-28T00:00:00,89.63,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-01-29T00:00:00,90.34,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-01T00:00:00,90.85,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-02T00:00:00,90.36,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-03T00:00:00,90.8,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-04T00:00:00,90.5,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-05T00:00:00,91.15,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-08T00:00:00,91.14,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-09T00:00:00,91.07,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-10T00:00:00,90.78,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-11T00:00:00,90.88,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-12T00:00:00,91.85,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-15T00:00:00,91.85,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-16T00:00:00,91.58,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-17T00:00:00,91.36,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-18T00:00:00,91.72,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-19T00:00:00,91.56,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-22T00:00:00,91.05,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-23T00:00:00,90.85,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-24T00:00:00,90.87,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-25T00:00:00,90.79,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-26T00:00:00,90.53,Daily,DXY,2025-04-29T17:15:53
United States,Currency,1988-02-29T00:00:00,90.53,Daily,DXY,2025-04-29T17:15:53
