Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Current Account,1960-03-31T00:00:00,0.35,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1960-06-30T00:00:00,0.53,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1960-09-30T00:00:00,0.836,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1960-12-31T00:00:00,1.108,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1961-03-31T00:00:00,1.239,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1961-06-30T00:00:00,0.906,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1961-09-30T00:00:00,0.844,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1961-12-31T00:00:00,0.833,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1962-03-31T00:00:00,0.646,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1962-06-30T00:00:00,1.045,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1962-09-30T00:00:00,0.961,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1962-12-31T00:00:00,0.732,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1963-03-31T00:00:00,0.843,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1963-06-30T00:00:00,1.199,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1963-09-30T00:00:00,1.021,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1963-12-31T00:00:00,1.35,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1964-03-31T00:00:00,1.91,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1964-06-30T00:00:00,1.527,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1964-09-30T00:00:00,1.725,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1964-12-31T00:00:00,1.662,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1965-03-31T00:00:00,1.257,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1965-06-30T00:00:00,1.577,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1965-09-30T00:00:00,1.305,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1965-12-31T00:00:00,1.289,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1966-03-31T00:00:00,0.982,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1966-06-30T00:00:00,0.789,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1966-09-30T00:00:00,0.485,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1966-12-31T00:00:00,0.776,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1967-03-31T00:00:00,0.876,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1967-06-30T00:00:00,0.667,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1967-09-30T00:00:00,0.563,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1967-12-31T00:00:00,0.474,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1968-03-31T00:00:00,0.196,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1968-06-30T00:00:00,0.329,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1968-09-30T00:00:00,0.139,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1968-12-31T00:00:00,-0.051,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1969-03-31T00:00:00,0.122,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1969-06-30T00:00:00,-0.131,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1969-09-30T00:00:00,0.048,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1969-12-31T00:00:00,0.357,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1970-03-31T00:00:00,0.62,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1970-06-30T00:00:00,0.972,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1970-09-30T00:00:00,0.515,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1970-12-31T00:00:00,0.222,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1971-03-31T00:00:00,0.683,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1971-06-30T00:00:00,-0.409,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1971-09-30T00:00:00,-0.536,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1971-12-31T00:00:00,-1.173,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1972-03-31T00:00:00,-1.693,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1972-06-30T00:00:00,-1.689,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1972-09-30T00:00:00,-1.285,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1972-12-31T00:00:00,-1.13,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1973-03-31T00:00:00,0.145,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1973-06-30T00:00:00,0.873,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1973-09-30T00:00:00,2.737,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1973-12-31T00:00:00,3.383,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1974-03-31T00:00:00,1.612,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1974-06-30T00:00:00,0.11,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1974-09-30T00:00:00,-0.295,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1974-12-31T00:00:00,0.531,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1975-03-31T00:00:00,4.207,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1975-06-30T00:00:00,5.014,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1975-09-30T00:00:00,4.08,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1975-12-31T00:00:00,4.813,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1976-03-31T00:00:00,2.566,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1976-06-30T00:00:00,1.648,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1976-09-30T00:00:00,-0.084,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1976-12-31T00:00:00,0.163,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1977-03-31T00:00:00,-2.687,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1977-06-30T00:00:00,-3.031,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1977-09-30T00:00:00,-2.757,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1977-12-31T00:00:00,-5.862,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1978-03-31T00:00:00,-7.02,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1978-06-30T00:00:00,-3.777,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1978-09-30T00:00:00,-3.667,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1978-12-31T00:00:00,-0.679,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1979-03-31T00:00:00,-0.424,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1979-06-30T00:00:00,-0.691,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1979-09-30T00:00:00,0.923,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1979-12-31T00:00:00,-0.098,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1980-03-31T00:00:00,-3.459,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1980-06-30T00:00:00,-0.941,Quarterly,USCABAL,2014-06-18T13:51:00
United States,Current Account,1980-09-30T00:00:00,4.333,Quarterly,USCABAL,2014-06-18T13:51:00
