Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Current Account Goods,1960-03-31T00:00:00,0.873,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1960-06-30T00:00:00,1.058,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1960-09-30T00:00:00,1.383,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1960-12-31T00:00:00,1.578,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1961-03-31T00:00:00,1.701,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1961-06-30T00:00:00,1.368,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1961-09-30T00:00:00,1.229,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1961-12-31T00:00:00,1.273,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1962-03-31T00:00:00,1.111,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1962-06-30T00:00:00,1.256,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1962-09-30T00:00:00,1.215,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1962-12-31T00:00:00,0.939,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1963-03-31T00:00:00,0.999,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1963-06-30T00:00:00,1.373,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1963-09-30T00:00:00,1.299,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1963-12-31T00:00:00,1.553,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1964-03-31T00:00:00,1.826,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1964-06-30T00:00:00,1.601,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1964-09-30T00:00:00,1.667,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1964-12-31T00:00:00,1.707,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1965-03-31T00:00:00,1.057,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1965-06-30T00:00:00,1.448,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1965-09-30T00:00:00,1.127,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1965-12-31T00:00:00,1.319,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1966-03-31T00:00:00,1.23,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1966-06-30T00:00:00,0.974,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1966-09-30T00:00:00,0.714,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1966-12-31T00:00:00,0.899,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1967-03-31T00:00:00,1.043,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1967-06-30T00:00:00,1.218,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1967-09-30T00:00:00,1.004,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1967-12-31T00:00:00,0.535,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1968-03-31T00:00:00,0.202,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1968-06-30T00:00:00,0.273,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1968-09-30T00:00:00,0.133,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1968-12-31T00:00:00,0.027,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1969-03-31T00:00:00,0.024,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1969-06-30T00:00:00,0.009,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1969-09-30T00:00:00,0.02,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1969-12-31T00:00:00,0.554,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1970-03-31T00:00:00,0.671,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1970-06-30T00:00:00,0.978,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1970-09-30T00:00:00,0.616,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1970-12-31T00:00:00,0.338,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1971-03-31T00:00:00,0.32,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1971-06-30T00:00:00,-0.736,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1971-09-30T00:00:00,-0.623,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1971-12-31T00:00:00,-1.221,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1972-03-31T00:00:00,-1.668,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1972-06-30T00:00:00,-1.636,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1972-09-30T00:00:00,-1.671,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1972-12-31T00:00:00,-1.441,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1973-03-31T00:00:00,-0.811,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1973-06-30T00:00:00,-0.056,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1973-09-30T00:00:00,0.588,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1973-12-31T00:00:00,1.19,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1974-03-31T00:00:00,0.662,Quarterly,USACAG,2024-03-28T16:10:00
United States,Current Account Goods,1974-06-30T00:00:00,-1.846,Quarterly,USACAG,2024-03-28T16:10:00
