Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Current Account Services,1960-03-31T00:00:00,-0.364,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1960-06-30T00:00:00,-0.191,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1960-09-30T00:00:00,-0.517,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1960-12-31T00:00:00,-0.312,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1961-03-31T00:00:00,-0.431,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1961-06-30T00:00:00,-0.164,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1961-09-30T00:00:00,-0.432,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1961-12-31T00:00:00,-0.349,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1962-03-31T00:00:00,-0.305,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1962-06-30T00:00:00,0.012,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1962-09-30T00:00:00,-0.438,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1962-12-31T00:00:00,-0.417,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1963-03-31T00:00:00,-0.208,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1963-06-30T00:00:00,0.084,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1963-09-30T00:00:00,-0.502,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1963-12-31T00:00:00,-0.387,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1964-03-31T00:00:00,-0.218,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1964-06-30T00:00:00,-0.054,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1964-09-30T00:00:00,-0.302,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1964-12-31T00:00:00,-0.204,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1965-03-31T00:00:00,-0.14,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1965-06-30T00:00:00,0.179,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1965-09-30T00:00:00,-0.143,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1965-12-31T00:00:00,-0.181,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1966-03-31T00:00:00,-0.359,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1966-06-30T00:00:00,0.104,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1966-09-30T00:00:00,-0.392,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1966-12-31T00:00:00,-0.23,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1967-03-31T00:00:00,-0.135,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1967-06-30T00:00:00,-0.32,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1967-09-30T00:00:00,-0.519,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1967-12-31T00:00:00,-0.224,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1968-03-31T00:00:00,-0.181,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1968-06-30T00:00:00,-0.054,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1968-09-30T00:00:00,-0.09,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1968-12-31T00:00:00,-0.056,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1969-03-31T00:00:00,-0.29,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1969-06-30T00:00:00,-0.02,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1969-09-30T00:00:00,-0.123,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1969-12-31T00:00:00,-0.087,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1970-03-31T00:00:00,-0.214,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1970-06-30T00:00:00,-0.045,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1970-09-30T00:00:00,-0.09,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1970-12-31T00:00:00,-0.002,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1971-03-31T00:00:00,0.324,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1971-06-30T00:00:00,0.22,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1971-09-30T00:00:00,0.111,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1971-12-31T00:00:00,0.303,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1972-03-31T00:00:00,0.3,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1972-06-30T00:00:00,0.005,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1972-09-30T00:00:00,0.539,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1972-12-31T00:00:00,0.132,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1973-03-31T00:00:00,-0.034,Quarterly,USACAS,2024-03-28T16:12:00
United States,Current Account Services,1973-06-30T00:00:00,0.087,Quarterly,USACAS,2024-03-28T16:12:00
