Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Current Account to GDP,1980-12-31T00:00:00,0.1,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1981-12-31T00:00:00,0.2,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1982-12-31T00:00:00,-0.2,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1983-12-31T00:00:00,-1.1,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1984-12-31T00:00:00,-2.4,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1985-12-31T00:00:00,-2.8,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1986-12-31T00:00:00,-3.3,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1987-12-31T00:00:00,-3.4,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1988-12-31T00:00:00,-2.4,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1989-12-31T00:00:00,-1.8,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1990-12-31T00:00:00,-1.4,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1991-12-31T00:00:00,0,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1992-12-31T00:00:00,-0.8,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1993-12-31T00:00:00,-1.3,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1994-12-31T00:00:00,-1.7,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1995-12-31T00:00:00,-1.5,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1996-12-31T00:00:00,-1.6,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1997-12-31T00:00:00,-1.7,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1998-12-31T00:00:00,-2.4,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,1999-12-31T00:00:00,-3.2,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2000-12-31T00:00:00,-4.2,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2001-12-31T00:00:00,-3.9,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2002-12-31T00:00:00,-4.3,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2003-12-31T00:00:00,-4.7,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2004-12-31T00:00:00,-5.3,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2005-12-31T00:00:00,-5.9,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2006-12-31T00:00:00,-6,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2007-12-31T00:00:00,-5.1,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2008-12-31T00:00:00,-4.7,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2009-12-31T00:00:00,-2.7,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2010-12-31T00:00:00,-3.2,Yearly,USACA2GDP,2011-07-18T10:17:00
United States,Current Account to GDP,2011-12-31T00:00:00,-3.1,Yearly,USACA2GDP,2012-05-25T17:54:00
United States,Current Account to GDP,2012-12-31T00:00:00,-2.7,Yearly,USACA2GDP,2013-04-23T13:05:00
United States,Current Account to GDP,2013-12-31T00:00:00,-2.4,Yearly,USACA2GDP,2014-03-19T14:52:00
United States,Current Account to GDP,2014-12-31T00:00:00,-2.2,Yearly,USACA2GDP,2016-03-17T12:50:00
United States,Current Account to GDP,2015-12-31T00:00:00,-2.6,Yearly,USACA2GDP,2017-03-21T12:36:00
United States,Current Account to GDP,2016-12-31T00:00:00,-2.4,Yearly,USACA2GDP,2018-03-21T13:15:00
United States,Current Account to GDP,2017-12-31T00:00:00,-2.3,Yearly,USACA2GDP,2019-03-27T14:05:00
United States,Current Account to GDP,2018-12-31T00:00:00,-2.4,Yearly,USACA2GDP,2019-03-27T14:05:00
United States,Current Account to GDP,2019-12-31T00:00:00,-2.2,Yearly,USACA2GDP,2021-03-23T12:49:00
United States,Current Account to GDP,2020-12-31T00:00:00,-2.9,Yearly,USACA2GDP,2022-06-19T13:34:00
United States,Current Account to GDP,2021-12-31T00:00:00,-3.6,Yearly,USACA2GDP,2022-06-19T13:34:00
United States,Current Account to GDP,2022-12-31T00:00:00,-3.8,Yearly,USACA2GDP,2024-03-21T12:35:00
United States,Current Account to GDP,2023-12-31T00:00:00,-3.3,Yearly,USACA2GDP,2025-03-20T12:41:00
United States,Current Account to GDP,2024-12-31T00:00:00,-3.9,Yearly,USACA2GDP,2025-03-20T12:41:00
