Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Dallas Fed Manufacturing Prices Paid Index,2004-06-30T00:00:00,55,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2004-07-31T00:00:00,61.5,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2004-08-31T00:00:00,66.4,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2004-09-30T00:00:00,60.2,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2004-10-31T00:00:00,72.2,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2004-11-30T00:00:00,56,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2004-12-31T00:00:00,45.9,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-01-31T00:00:00,38.7,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-02-28T00:00:00,42.8,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-03-31T00:00:00,51,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-04-30T00:00:00,39.6,Monthly,USADFMPPI,2021-11-23T16:35:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-05-31T00:00:00,18,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-06-30T00:00:00,11.4,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-07-31T00:00:00,19.1,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-08-31T00:00:00,34,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-09-30T00:00:00,56.4,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-10-31T00:00:00,57.6,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-11-30T00:00:00,67.7,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2005-12-31T00:00:00,63.7,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-01-31T00:00:00,50.5,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-02-28T00:00:00,40.7,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-03-31T00:00:00,26.3,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-04-30T00:00:00,39.9,Monthly,USADFMPPI,2021-11-23T16:35:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-05-31T00:00:00,44.5,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-06-30T00:00:00,45.9,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-07-31T00:00:00,57.7,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-08-31T00:00:00,52.2,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-09-30T00:00:00,32.8,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-10-31T00:00:00,24.5,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-11-30T00:00:00,22.8,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2006-12-31T00:00:00,24.1,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-01-31T00:00:00,31.3,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-02-28T00:00:00,28.1,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-03-31T00:00:00,23.3,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-04-30T00:00:00,32.8,Monthly,USADFMPPI,2021-11-23T16:35:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-05-31T00:00:00,35.4,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-06-30T00:00:00,27.2,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-07-31T00:00:00,33,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-08-31T00:00:00,23.4,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-09-30T00:00:00,20.5,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-10-31T00:00:00,39.6,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-11-30T00:00:00,33.8,Monthly,USADFMPPI,2025-01-28T00:43:00
United States,Dallas Fed Manufacturing Prices Paid Index,2007-12-31T00:00:00,35.5,Monthly,USADFMPPI,2025-01-28T00:43:00
