Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Debt Balance Auto Loans,2003-03-31T00:00:00,0.641,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2003-06-30T00:00:00,0.622,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2003-09-30T00:00:00,0.684,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2003-12-31T00:00:00,0.704,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2004-03-31T00:00:00,0.72,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2004-06-30T00:00:00,0.743,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2004-09-30T00:00:00,0.751,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2004-12-31T00:00:00,0.728,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2005-03-31T00:00:00,0.725,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2005-06-30T00:00:00,0.774,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2005-09-30T00:00:00,0.83,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2005-12-31T00:00:00,0.792,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2006-03-31T00:00:00,0.788,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2006-06-30T00:00:00,0.796,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2006-09-30T00:00:00,0.821,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2006-12-31T00:00:00,0.821,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2007-03-31T00:00:00,0.794,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2007-06-30T00:00:00,0.807,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2007-09-30T00:00:00,0.818,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2007-12-31T00:00:00,0.815,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2008-03-31T00:00:00,0.808,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2008-06-30T00:00:00,0.81,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2008-09-30T00:00:00,0.809,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2008-12-31T00:00:00,0.791,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2009-03-31T00:00:00,0.766,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2009-06-30T00:00:00,0.743,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2009-09-30T00:00:00,0.739,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2009-12-31T00:00:00,0.722,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2010-03-31T00:00:00,0.705,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2010-06-30T00:00:00,0.702,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2010-09-30T00:00:00,0.71,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2010-12-31T00:00:00,0.711,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2011-03-31T00:00:00,0.706,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2011-06-30T00:00:00,0.713,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2011-09-30T00:00:00,0.73,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2011-12-31T00:00:00,0.734,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2012-03-31T00:00:00,0.737,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2012-06-30T00:00:00,0.75,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2012-09-30T00:00:00,0.768,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2012-12-31T00:00:00,0.783,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2013-03-31T00:00:00,0.794,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2013-06-30T00:00:00,0.814,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2013-09-30T00:00:00,0.845,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2013-12-31T00:00:00,0.863,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2014-03-31T00:00:00,0.875,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2014-06-30T00:00:00,0.905,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2014-09-30T00:00:00,0.934,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2014-12-31T00:00:00,0.955,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2015-03-31T00:00:00,0.968,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2015-06-30T00:00:00,1.006,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2015-09-30T00:00:00,1.045,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2015-12-31T00:00:00,1.064,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2016-03-31T00:00:00,1.071,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2016-06-30T00:00:00,1.103,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2016-09-30T00:00:00,1.135,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2016-12-31T00:00:00,1.157,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2017-03-31T00:00:00,1.167,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2017-06-30T00:00:00,1.19,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2017-09-30T00:00:00,1.213,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2017-12-31T00:00:00,1.221,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2018-03-31T00:00:00,1.229,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2018-06-30T00:00:00,1.238,Quarterly,USADBAL,2022-05-17T14:36:00
United States,Debt Balance Auto Loans,2018-09-30T00:00:00,1.265,Quarterly,USADBAL,2022-05-17T14:36:00
