Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Debt Balance Credit Cards,2003-03-31T00:00:00,0.688,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2003-06-30T00:00:00,0.693,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2003-09-30T00:00:00,0.693,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2003-12-31T00:00:00,0.698,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2004-03-31T00:00:00,0.695,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2004-06-30T00:00:00,0.697,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2004-09-30T00:00:00,0.706,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2004-12-31T00:00:00,0.717,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2005-03-31T00:00:00,0.71,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2005-06-30T00:00:00,0.717,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2005-09-30T00:00:00,0.732,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2005-12-31T00:00:00,0.736,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2006-03-31T00:00:00,0.723,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2006-06-30T00:00:00,0.739,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2006-09-30T00:00:00,0.754,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2006-12-31T00:00:00,0.767,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2007-03-31T00:00:00,0.764,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2007-06-30T00:00:00,0.796,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2007-09-30T00:00:00,0.817,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2007-12-31T00:00:00,0.839,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2008-03-31T00:00:00,0.837,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2008-06-30T00:00:00,0.85,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2008-09-30T00:00:00,0.858,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2008-12-31T00:00:00,0.866,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2009-03-31T00:00:00,0.843,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2009-06-30T00:00:00,0.824,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2009-09-30T00:00:00,0.812,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2009-12-31T00:00:00,0.795,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2010-03-31T00:00:00,0.762,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2010-06-30T00:00:00,0.744,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2010-09-30T00:00:00,0.731,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2010-12-31T00:00:00,0.73,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2011-03-31T00:00:00,0.696,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2011-06-30T00:00:00,0.694,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2011-09-30T00:00:00,0.693,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2011-12-31T00:00:00,0.704,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2012-03-31T00:00:00,0.679,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2012-06-30T00:00:00,0.672,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2012-09-30T00:00:00,0.674,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2012-12-31T00:00:00,0.679,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2013-03-31T00:00:00,0.66,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2013-06-30T00:00:00,0.668,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2013-09-30T00:00:00,0.672,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2013-12-31T00:00:00,0.683,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2014-03-31T00:00:00,0.659,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2014-06-30T00:00:00,0.669,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2014-09-30T00:00:00,0.68,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2014-12-31T00:00:00,0.7,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2015-03-31T00:00:00,0.684,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2015-06-30T00:00:00,0.703,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2015-09-30T00:00:00,0.714,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2015-12-31T00:00:00,0.733,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2016-03-31T00:00:00,0.712,Quarterly,USADBCC,2022-05-17T14:40:00
United States,Debt Balance Credit Cards,2016-06-30T00:00:00,0.729,Quarterly,USADBCC,2022-05-17T14:40:00
