Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Debt Balance Mortgages,2003-03-31T00:00:00,4.942,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2003-06-30T00:00:00,5.08,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2003-09-30T00:00:00,5.183,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2003-12-31T00:00:00,5.66,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2004-03-31T00:00:00,5.84,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2004-06-30T00:00:00,5.967,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2004-09-30T00:00:00,6.21,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2004-12-31T00:00:00,6.36,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2005-03-31T00:00:00,6.512,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2005-06-30T00:00:00,6.696,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2005-09-30T00:00:00,6.906,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2005-12-31T00:00:00,7.102,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2006-03-31T00:00:00,7.436,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2006-06-30T00:00:00,7.76,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2006-09-30T00:00:00,8.045,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2006-12-31T00:00:00,8.234,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2007-03-31T00:00:00,8.422,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2007-06-30T00:00:00,8.706,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2007-09-30T00:00:00,8.925,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2007-12-31T00:00:00,9.101,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2008-03-31T00:00:00,9.234,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2008-06-30T00:00:00,9.273,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2008-09-30T00:00:00,9.294,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2008-12-31T00:00:00,9.257,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2009-03-31T00:00:00,9.135,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2009-06-30T00:00:00,9.063,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2009-09-30T00:00:00,8.944,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2009-12-31T00:00:00,8.843,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2010-03-31T00:00:00,8.834,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2010-06-30T00:00:00,8.703,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2010-09-30T00:00:00,8.609,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2010-12-31T00:00:00,8.452,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2011-03-31T00:00:00,8.544,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2011-06-30T00:00:00,8.516,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2011-09-30T00:00:00,8.402,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2011-12-31T00:00:00,8.268,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2012-03-31T00:00:00,8.187,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2012-06-30T00:00:00,8.147,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2012-09-30T00:00:00,8.028,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2012-12-31T00:00:00,8.033,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2013-03-31T00:00:00,7.932,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2013-06-30T00:00:00,7.841,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2013-09-30T00:00:00,7.897,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2013-12-31T00:00:00,8.049,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2014-03-31T00:00:00,8.165,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2014-06-30T00:00:00,8.096,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2014-09-30T00:00:00,8.131,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2014-12-31T00:00:00,8.17,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2015-03-31T00:00:00,8.171,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2015-06-30T00:00:00,8.116,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2015-09-30T00:00:00,8.26,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2015-12-31T00:00:00,8.249,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2016-03-31T00:00:00,8.369,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2016-06-30T00:00:00,8.362,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2016-09-30T00:00:00,8.35,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2016-12-31T00:00:00,8.48,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2017-03-31T00:00:00,8.627,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2017-06-30T00:00:00,8.691,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2017-09-30T00:00:00,8.743,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2017-12-31T00:00:00,8.882,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2018-03-31T00:00:00,8.939,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2018-06-30T00:00:00,8.999,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2018-09-30T00:00:00,9.14,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2018-12-31T00:00:00,9.124,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2019-03-31T00:00:00,9.244,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2019-06-30T00:00:00,9.406,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2019-09-30T00:00:00,9.437,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2019-12-31T00:00:00,9.557,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2020-03-31T00:00:00,9.713,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2020-06-30T00:00:00,9.776,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2020-09-30T00:00:00,9.861,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2020-12-31T00:00:00,10.043,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2021-03-31T00:00:00,10.16,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2021-06-30T00:00:00,10.442,Quarterly,USADBM,2022-05-17T14:34:00
United States,Debt Balance Mortgages,2021-09-30T00:00:00,10.672,Quarterly,USADBM,2022-05-17T14:34:00
