Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Debt Balance Student Loans,2003-03-31T00:00:00,0.241,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2003-06-30T00:00:00,0.243,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2003-09-30T00:00:00,0.249,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2003-12-31T00:00:00,0.253,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2004-03-31T00:00:00,0.26,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2004-06-30T00:00:00,0.263,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2004-09-30T00:00:00,0.33,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2004-12-31T00:00:00,0.346,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2005-03-31T00:00:00,0.364,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2005-06-30T00:00:00,0.374,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2005-09-30T00:00:00,0.378,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2005-12-31T00:00:00,0.392,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2006-03-31T00:00:00,0.435,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2006-06-30T00:00:00,0.439,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2006-09-30T00:00:00,0.447,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2006-12-31T00:00:00,0.482,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2007-03-31T00:00:00,0.506,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2007-06-30T00:00:00,0.514,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2007-09-30T00:00:00,0.529,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2007-12-31T00:00:00,0.548,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2008-03-31T00:00:00,0.579,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2008-06-30T00:00:00,0.586,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2008-09-30T00:00:00,0.611,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2008-12-31T00:00:00,0.639,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2009-03-31T00:00:00,0.663,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2009-06-30T00:00:00,0.675,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2009-09-30T00:00:00,0.695,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2009-12-31T00:00:00,0.721,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2010-03-31T00:00:00,0.758,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2010-06-30T00:00:00,0.762,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2010-09-30T00:00:00,0.778,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2010-12-31T00:00:00,0.812,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2011-03-31T00:00:00,0.839,Quarterly,USADBSL,2022-05-17T14:43:00
United States,Debt Balance Student Loans,2011-06-30T00:00:00,0.851,Quarterly,USADBSL,2022-05-17T14:43:00
