Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Debt Balance Total,2003-03-31T00:00:00,7.231,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2003-06-30T00:00:00,7.384,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2003-09-30T00:00:00,7.555,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2003-12-31T00:00:00,8.066,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2004-03-31T00:00:00,8.289,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2004-06-30T00:00:00,8.46,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2004-09-30T00:00:00,8.833,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2004-12-31T00:00:00,9.042,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2005-03-31T00:00:00,9.207,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2005-06-30T00:00:00,9.492,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2005-09-30T00:00:00,9.792,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2005-12-31T00:00:00,10.002,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2006-03-31T00:00:00,10.382,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2006-06-30T00:00:00,10.747,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2006-09-30T00:00:00,11.111,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2006-12-31T00:00:00,11.313,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2007-03-31T00:00:00,11.495,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2007-06-30T00:00:00,11.85,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2007-09-30T00:00:00,12.133,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2007-12-31T00:00:00,12.372,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2008-03-31T00:00:00,12.537,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2008-06-30T00:00:00,12.599,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2008-09-30T00:00:00,12.675,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2008-12-31T00:00:00,12.67,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2009-03-31T00:00:00,12.53,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2009-06-30T00:00:00,12.407,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2009-09-30T00:00:00,12.279,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2009-12-31T00:00:00,12.166,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2010-03-31T00:00:00,12.117,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2010-06-30T00:00:00,11.943,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2010-09-30T00:00:00,11.844,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2010-12-31T00:00:00,11.713,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2011-03-31T00:00:00,11.754,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2011-06-30T00:00:00,11.73,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2011-09-30T00:00:00,11.661,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2011-12-31T00:00:00,11.537,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2012-03-31T00:00:00,11.436,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2012-06-30T00:00:00,11.384,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2012-09-30T00:00:00,11.31,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2012-12-31T00:00:00,11.341,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2013-03-31T00:00:00,11.231,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2013-06-30T00:00:00,11.153,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2013-09-30T00:00:00,11.28,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2013-12-31T00:00:00,11.521,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2014-03-31T00:00:00,11.65,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2014-06-30T00:00:00,11.632,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2014-09-30T00:00:00,11.71,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2014-12-31T00:00:00,11.827,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2015-03-31T00:00:00,11.851,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2015-06-30T00:00:00,11.853,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2015-09-30T00:00:00,12.065,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2015-12-31T00:00:00,12.116,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2016-03-31T00:00:00,12.252,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2016-06-30T00:00:00,12.287,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2016-09-30T00:00:00,12.35,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2016-12-31T00:00:00,12.576,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2017-03-31T00:00:00,12.725,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2017-06-30T00:00:00,12.839,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2017-09-30T00:00:00,12.955,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2017-12-31T00:00:00,13.148,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2018-03-31T00:00:00,13.211,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2018-06-30T00:00:00,13.293,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2018-09-30T00:00:00,13.512,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2018-12-31T00:00:00,13.544,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2019-03-31T00:00:00,13.668,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2019-06-30T00:00:00,13.86,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2019-09-30T00:00:00,13.952,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2019-12-31T00:00:00,14.145,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2020-03-31T00:00:00,14.3,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2020-06-30T00:00:00,14.266,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2020-09-30T00:00:00,14.353,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2020-12-31T00:00:00,14.559,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2021-03-31T00:00:00,14.644,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2021-06-30T00:00:00,14.957,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2021-09-30T00:00:00,15.243,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2021-12-31T00:00:00,15.576,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2022-03-31T00:00:00,15.842,Quarterly,USADBT,2022-05-17T14:29:00
United States,Debt Balance Total,2022-06-30T00:00:00,16.154,Quarterly,USADBT,2022-08-20T10:21:00
United States,Debt Balance Total,2022-09-30T00:00:00,16.505,Quarterly,USADBT,2022-11-19T10:20:00
United States,Debt Balance Total,2022-12-31T00:00:00,16.899,Quarterly,USADBT,2023-05-15T17:53:00
United States,Debt Balance Total,2023-03-31T00:00:00,17.047,Quarterly,USADBT,2023-05-15T17:53:00
United States,Debt Balance Total,2023-06-30T00:00:00,17.063,Quarterly,USADBT,2023-08-08T15:28:00
