Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Distillate Stocks,1982-08-27T00:00:00,5174,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-09-24T00:00:00,4095,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-10-01T00:00:00,-4223,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-10-08T00:00:00,3781,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-10-15T00:00:00,3336,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-10-22T00:00:00,1356,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-10-29T00:00:00,681,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-11-05T00:00:00,4173,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-11-12T00:00:00,3688,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-11-19T00:00:00,4932,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-11-26T00:00:00,812,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-12-03T00:00:00,6519,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-12-10T00:00:00,2273,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-12-17T00:00:00,-5512,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-12-24T00:00:00,1691,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1982-12-31T00:00:00,-871,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-01-07T00:00:00,-3544,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-01-14T00:00:00,-2720,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-01-21T00:00:00,-4382,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-01-28T00:00:00,-1339,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-02-04T00:00:00,-5195,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-02-11T00:00:00,-7289,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-02-18T00:00:00,-5089,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-02-25T00:00:00,-4093,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-03-04T00:00:00,-4437,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-03-11T00:00:00,-2904,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-03-18T00:00:00,-5942,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-03-25T00:00:00,-3695,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-04-01T01:00:00,-9975,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-04-08T00:00:00,-7342,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-04-15T00:00:00,-5369,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-04-29T00:00:00,-4414,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-05-13T00:00:00,1762,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-05-20T00:00:00,307,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-06-03T00:00:00,866,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
United States,Distillate Stocks,1983-06-10T00:00:00,4361,Weekly,UNITEDSTADISSTO,2020-01-07T16:32:00
