Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Economic Optimism Index,2001-02-28T00:00:00,53.9,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-03-30T00:00:00,53.9,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-04-30T00:00:00,52.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-05-31T00:00:00,54.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-06-29T00:00:00,55.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-07-31T00:00:00,54,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-08-31T00:00:00,54.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-09-30T00:00:00,52.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-10-31T00:00:00,57.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-11-30T00:00:00,56.7,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2001-12-31T00:00:00,60.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-01-31T00:00:00,61.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-02-28T00:00:00,60.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-03-29T00:00:00,62.9,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-04-30T00:00:00,60.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-05-31T00:00:00,60.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-06-30T00:00:00,59.7,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-07-31T00:00:00,54.9,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-08-30T00:00:00,55.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-09-30T00:00:00,54.9,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-10-31T00:00:00,53.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-11-29T00:00:00,54.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2002-12-31T00:00:00,53.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-01-31T00:00:00,52.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-02-28T00:00:00,50,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-03-31T00:00:00,48.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-04-30T00:00:00,56.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-05-30T00:00:00,56.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-06-30T00:00:00,56.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-07-31T00:00:00,56.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-08-29T00:00:00,54.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-09-30T00:00:00,52.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-10-31T00:00:00,53.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-11-30T00:00:00,55.9,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2003-12-31T00:00:00,58.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-01-30T00:00:00,60.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-02-29T00:00:00,56.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-03-31T00:00:00,54.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-04-30T00:00:00,52.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-05-31T00:00:00,54.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-06-30T00:00:00,52.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-07-30T00:00:00,57.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-08-31T00:00:00,57.7,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-09-30T00:00:00,54.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-10-29T00:00:00,57.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-11-30T00:00:00,55.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2004-12-31T00:00:00,54.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-01-31T00:00:00,56.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-02-28T00:00:00,54.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-03-31T00:00:00,53,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-04-29T00:00:00,47.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-05-31T00:00:00,47.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-06-30T00:00:00,50.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-07-29T00:00:00,48.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-08-31T00:00:00,50.9,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-09-30T00:00:00,41.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-10-31T00:00:00,42,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-11-30T00:00:00,48.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2005-12-30T00:00:00,51.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-01-31T00:00:00,50.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-02-28T00:00:00,50.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-03-31T00:00:00,49.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-04-30T00:00:00,48.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-05-31T00:00:00,46.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-06-30T00:00:00,46.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-07-31T00:00:00,47.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-08-31T00:00:00,45.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-09-29T00:00:00,50.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-10-31T00:00:00,52.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-11-30T00:00:00,55.7,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2006-12-29T00:00:00,53.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-01-31T00:00:00,53.7,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-02-28T00:00:00,52.7,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-03-30T00:00:00,50.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-04-30T00:00:00,45.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-05-31T00:00:00,48,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-06-29T00:00:00,49.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-07-31T00:00:00,48.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-08-31T00:00:00,49.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-09-30T00:00:00,48.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-10-31T00:00:00,47.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-11-30T00:00:00,43.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2007-12-31T00:00:00,44.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-01-31T00:00:00,43.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-02-29T00:00:00,44.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-03-31T00:00:00,42.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-04-30T00:00:00,39.2,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-05-30T00:00:00,40.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-06-30T00:00:00,37.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-07-31T00:00:00,37.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-08-29T00:00:00,42.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-09-30T00:00:00,45.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-10-31T00:00:00,41.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-11-30T00:00:00,50.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2008-12-31T00:00:00,45,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-01-30T00:00:00,45.4,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-02-28T00:00:00,44.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-03-31T00:00:00,45.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-04-30T00:00:00,49.1,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-05-29T00:00:00,48.6,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-06-30T00:00:00,50.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-07-31T00:00:00,46.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-08-31T00:00:00,50.3,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-09-30T00:00:00,52.5,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-10-30T00:00:00,48.7,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-11-30T00:00:00,47.9,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2009-12-31T00:00:00,46.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
United States,Economic Optimism Index,2010-01-29T00:00:00,48.8,Monthly,UNITEDSTAECOOPTIND,2015-04-25T14:56:00
