Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Employment Cost Index Wages,1982-06-30T00:00:00,1.4,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1982-09-30T00:00:00,1.6,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1982-12-31T00:00:00,1.3,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1983-03-31T00:00:00,1.1,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1983-06-30T00:00:00,1.3,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1983-09-30T00:00:00,1.1,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1983-12-31T00:00:00,1.3,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1984-03-31T00:00:00,1.5,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1984-06-30T00:00:00,0.8,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1984-09-30T00:00:00,0.8,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1984-12-31T00:00:00,1.2,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1985-03-31T00:00:00,1.2,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1985-06-30T00:00:00,1.2,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1985-09-30T00:00:00,1.2,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1985-12-31T00:00:00,0.8,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1986-03-31T00:00:00,1,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1986-06-30T00:00:00,1,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1986-09-30T00:00:00,0.6,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1986-12-31T00:00:00,0.9,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1987-03-31T00:00:00,0.9,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1987-06-30T00:00:00,0.7,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1987-09-30T00:00:00,0.7,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1987-12-31T00:00:00,0.9,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1988-03-31T00:00:00,0.9,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1988-06-30T00:00:00,1.3,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1988-09-30T00:00:00,0.9,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1988-12-31T00:00:00,1.1,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1989-03-31T00:00:00,1.2,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1989-06-30T00:00:00,1,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1989-09-30T00:00:00,1.2,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1989-12-31T00:00:00,1,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1990-03-31T00:00:00,1.2,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1990-06-30T00:00:00,1.2,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1990-09-30T00:00:00,1,Quarterly,USAECIW,2021-10-27T11:31:00
United States,Employment Cost Index Wages,1990-12-31T00:00:00,0.8,Quarterly,USAECIW,2021-10-27T11:31:00
