Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Exports,1950-01-31T00:00:00,0.795,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-02-28T00:00:00,0.792,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-03-31T00:00:00,0.772,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-04-30T00:00:00,0.786,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-05-31T00:00:00,0.772,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-06-30T00:00:00,0.831,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-07-31T00:00:00,0.821,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-08-31T00:00:00,0.813,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-09-30T00:00:00,0.889,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-10-31T00:00:00,0.893,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-11-30T00:00:00,0.94,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1950-12-31T00:00:00,0.915,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-01-31T00:00:00,0.97,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-02-28T00:00:00,1.022,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-03-31T00:00:00,1.08,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-04-30T00:00:00,1.256,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-05-31T00:00:00,1.133,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-06-30T00:00:00,1.132,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-07-31T00:00:00,1.234,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-08-31T00:00:00,1.233,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-09-30T00:00:00,1.233,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-10-31T00:00:00,1.101,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-11-30T00:00:00,1.273,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1951-12-31T00:00:00,1.309,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-01-31T00:00:00,1.25,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-02-29T00:00:00,1.236,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-03-31T00:00:00,1.281,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-04-30T00:00:00,1.138,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-05-31T00:00:00,1.129,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-06-30T00:00:00,1.063,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-07-31T00:00:00,0.97,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-08-31T00:00:00,1.012,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-09-30T00:00:00,1.028,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-10-31T00:00:00,1.004,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-11-30T00:00:00,1.026,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1952-12-31T00:00:00,1.016,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-01-31T00:00:00,1.041,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-02-28T00:00:00,0.971,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-03-31T00:00:00,1.001,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-04-30T00:00:00,1.024,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-05-31T00:00:00,1.008,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-06-30T00:00:00,0.998,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-07-31T00:00:00,1.011,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-08-31T00:00:00,1.026,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-09-30T00:00:00,1.154,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-10-31T00:00:00,0.951,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-11-30T00:00:00,1.035,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1953-12-31T00:00:00,1.073,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-01-31T00:00:00,0.962,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-02-28T00:00:00,1.047,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-03-31T00:00:00,0.862,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-04-30T00:00:00,1.196,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-05-31T00:00:00,1.087,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-06-30T00:00:00,1.091,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-07-31T00:00:00,1.076,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-08-31T00:00:00,1.067,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-09-30T00:00:00,1.056,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-10-31T00:00:00,1.111,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-11-30T00:00:00,1.147,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1954-12-31T00:00:00,1.13,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-01-31T00:00:00,1.168,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-02-28T00:00:00,1.198,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-03-31T00:00:00,1.159,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-04-30T00:00:00,1.113,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-05-31T00:00:00,1.132,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-06-30T00:00:00,1.17,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-07-31T00:00:00,1.223,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-08-31T00:00:00,1.215,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-09-30T00:00:00,1.235,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-10-31T00:00:00,1.26,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-11-30T00:00:00,1.215,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1955-12-31T00:00:00,1.226,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-01-31T00:00:00,1.289,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-02-29T00:00:00,1.29,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-03-31T00:00:00,1.348,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-04-30T00:00:00,1.394,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-05-31T00:00:00,1.413,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-06-30T00:00:00,1.442,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-07-31T00:00:00,1.412,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-08-31T00:00:00,1.454,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-09-30T00:00:00,1.586,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-10-31T00:00:00,1.509,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-11-30T00:00:00,1.36,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1956-12-31T00:00:00,1.836,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-01-31T00:00:00,1.653,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-02-28T00:00:00,1.577,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-03-31T00:00:00,1.881,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-04-30T00:00:00,1.739,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-05-31T00:00:00,1.56,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-06-30T00:00:00,1.674,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-07-31T00:00:00,1.617,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-08-31T00:00:00,1.617,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-09-30T00:00:00,1.605,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-10-31T00:00:00,1.546,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-11-30T00:00:00,1.534,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1957-12-31T00:00:00,1.493,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-01-31T00:00:00,1.423,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-02-28T00:00:00,1.322,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-03-31T00:00:00,1.385,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-04-30T00:00:00,1.364,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-05-31T00:00:00,1.379,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-06-30T00:00:00,1.337,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-07-31T00:00:00,1.361,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-08-31T00:00:00,1.365,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-09-30T00:00:00,1.354,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-10-31T00:00:00,1.349,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-11-30T00:00:00,1.401,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1958-12-31T00:00:00,1.339,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-01-31T00:00:00,1.314,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-02-28T00:00:00,1.256,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-03-31T00:00:00,1.326,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-04-30T00:00:00,1.305,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-05-31T00:00:00,1.32,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-06-30T00:00:00,1.357,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-07-31T00:00:00,1.397,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-08-31T00:00:00,1.432,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-09-30T00:00:00,1.528,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-10-31T00:00:00,1.328,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-11-30T00:00:00,1.376,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1959-12-31T00:00:00,1.493,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-01-31T00:00:00,2.048,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-02-29T00:00:00,2.068,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-03-31T00:00:00,2.055,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-04-30T00:00:00,2.199,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-05-31T00:00:00,2.216,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-06-30T00:00:00,2.215,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-07-31T00:00:00,2.195,Monthly,TBEXTOT,2016-03-04T14:46:00
United States,Exports,1960-08-31T00:00:00,2.144,Monthly,TBEXTOT,2016-03-04T14:46:00
