Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,External Debt,2003-06-30T00:00:00,6570168,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2003-09-30T00:00:00,6712564,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2003-12-31T00:00:00,6946289,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2004-03-31T00:00:00,7391798,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2004-06-30T00:00:00,7744964,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2004-09-30T00:00:00,7957542,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2004-12-31T00:00:00,8353479,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2005-03-31T00:00:00,8525671,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2005-06-30T00:00:00,8836998,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2005-09-30T00:00:00,9320014,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2005-12-31T00:00:00,9560623,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2006-03-31T00:00:00,9941998,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2006-06-30T00:00:00,10036806,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2006-09-30T00:00:00,10303546,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2006-12-31T00:00:00,10731769,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2007-03-31T00:00:00,12041192,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2007-06-30T00:00:00,12957000,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2007-09-30T00:00:00,13116557,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2007-12-31T00:00:00,13427103,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2008-03-31T00:00:00,13885208,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2008-06-30T00:00:00,14004131,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2008-09-30T00:00:00,13930314,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2008-12-31T00:00:00,13749570,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2009-03-31T00:00:00,13436418,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
United States,External Debt,2009-06-30T00:00:00,13436418,Quarterly,UNITEDSTAEXTDEB,2018-09-12T17:28:00
