Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Fed Capital Account Surplus,2002-12-18T00:00:00,7312,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2002-12-25T00:00:00,7312,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-01-01T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-01-08T00:00:00,8348,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-01-15T00:00:00,8478,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-01-22T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-01-29T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-02-05T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-02-12T00:00:00,8357,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-02-19T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-02-26T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-03-05T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-03-12T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-03-19T00:00:00,8297,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-03-26T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-04-02T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-04-09T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-04-16T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-04-23T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-04-30T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-05-07T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-05-14T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-05-21T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-05-28T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-06-04T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-06-11T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-06-18T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-06-25T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-07-02T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-07-09T00:00:00,8378,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-07-16T00:00:00,8378,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-07-23T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-07-30T00:00:00,8363,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-08-06T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-08-13T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-08-20T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-08-27T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-09-03T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-09-10T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-09-17T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-09-24T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-10-01T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
United States,Fed Capital Account Surplus,2003-10-08T00:00:00,8380,Weekly,USAFCAS,2024-10-14T11:10:00
