Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Fiscal Expenditure,1954-01-31T00:00:00,5218,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-02-28T00:00:00,4707,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-03-31T00:00:00,5555,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-04-30T00:00:00,5296,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-05-31T00:00:00,5203,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-06-30T00:00:00,7308,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-07-31T00:00:00,4827,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-08-31T00:00:00,6731,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-09-30T00:00:00,5019,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-10-31T00:00:00,4857,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-11-30T00:00:00,3842,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1954-12-31T00:00:00,6288,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-01-31T00:00:00,4942,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-02-28T00:00:00,4831,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-03-31T00:00:00,5894,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-04-30T00:00:00,5228,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-05-31T00:00:00,5356,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-06-30T00:00:00,6753,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-07-31T00:00:00,5382,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-08-31T00:00:00,6225,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-09-30T00:00:00,5340,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-10-31T00:00:00,5355,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-11-30T00:00:00,5172,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1955-12-31T00:00:00,5651,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-01-31T00:00:00,5274,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-02-29T00:00:00,4950,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-03-31T00:00:00,5399,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-04-30T00:00:00,5387,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-05-31T00:00:00,5467,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-06-30T00:00:00,6937,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-07-31T00:00:00,5542,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-08-31T00:00:00,5902,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-09-30T00:00:00,4918,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-10-31T00:00:00,5995,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-11-30T00:00:00,5726,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1956-12-31T00:00:00,5718,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-01-31T00:00:00,6095,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-02-28T00:00:00,5743,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-03-31T00:00:00,5584,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-04-30T00:00:00,5987,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-05-31T00:00:00,5944,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-06-30T00:00:00,6279,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-07-31T00:00:00,6347,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-08-31T00:00:00,5930,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
United States,Fiscal Expenditure,1957-09-30T00:00:00,5667,Monthly,UNITEDSTAFISEXP,2015-08-04T20:10:00
