Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Foreign Bond Investment,1978-01-31T00:00:00,1481,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-02-28T00:00:00,278,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-03-31T00:00:00,871,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-04-30T00:00:00,-1579,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-05-31T00:00:00,-295,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-06-30T00:00:00,1271,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-07-31T00:00:00,490,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-08-31T00:00:00,425,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-09-30T00:00:00,639,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-10-31T00:00:00,1410,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-11-30T00:00:00,225,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1978-12-31T00:00:00,-506,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-01-31T00:00:00,69,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-02-28T00:00:00,-623,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-03-31T00:00:00,510,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-04-30T00:00:00,632,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-05-31T00:00:00,-924,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-06-30T00:00:00,320,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-07-31T00:00:00,1550,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-08-31T00:00:00,594,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-09-30T00:00:00,655,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-10-31T00:00:00,632,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-11-30T00:00:00,-1096,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1979-12-31T00:00:00,543,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-01-31T00:00:00,1394,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-02-29T00:00:00,343,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-03-31T00:00:00,-231,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-04-30T00:00:00,-909,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-05-31T00:00:00,-677,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-06-30T00:00:00,1759,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-07-31T00:00:00,692,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-08-31T00:00:00,-767,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-09-30T00:00:00,1752,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-10-31T00:00:00,680,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-11-30T00:00:00,664,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1980-12-31T00:00:00,198,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-01-31T00:00:00,1035,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-02-28T00:00:00,1768,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-03-31T00:00:00,1525,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-04-30T00:00:00,368,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-05-31T00:00:00,714,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-06-30T00:00:00,1266,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-07-31T00:00:00,1149,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-08-31T00:00:00,1799,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-09-30T00:00:00,1256,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-10-31T00:00:00,1475,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-11-30T00:00:00,1934,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1981-12-31T00:00:00,764,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-01-31T00:00:00,1286,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-02-28T00:00:00,2318,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-03-31T00:00:00,2013,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-04-30T00:00:00,1454,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-05-31T00:00:00,1022,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-06-30T00:00:00,362,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-07-31T00:00:00,1982,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-08-31T00:00:00,865,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-09-30T00:00:00,2341,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-10-31T00:00:00,1703,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-11-30T00:00:00,808,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1982-12-31T00:00:00,1166,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-01-31T00:00:00,768,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-02-28T00:00:00,595,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-03-31T00:00:00,2606,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-04-30T00:00:00,-1143,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-05-31T00:00:00,2622,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-06-30T00:00:00,1563,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-07-31T00:00:00,-1674,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-08-31T00:00:00,-1372,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-09-30T00:00:00,1133,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-10-31T00:00:00,2361,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-11-30T00:00:00,-1402,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1983-12-31T00:00:00,-631,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-01-31T00:00:00,773,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-02-29T00:00:00,556,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-03-31T00:00:00,-527,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-04-30T00:00:00,2304,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-05-31T00:00:00,1435,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-06-30T00:00:00,-325,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-07-31T00:00:00,1752,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-08-31T00:00:00,6658,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-09-30T00:00:00,-3802,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-10-31T00:00:00,2939,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
United States,Foreign Bond Investment,1984-11-30T00:00:00,2229,Monthly,UNITEDSTAFORBONINV,2015-03-16T12:24:00
