Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Full Year GDP Growth,1930-12-31T00:00:00,-8.5,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1931-12-31T00:00:00,-6.4,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1932-12-31T00:00:00,-12.9,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1933-12-31T00:00:00,-1.2,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1934-12-31T00:00:00,10.8,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1935-12-31T00:00:00,8.9,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1936-12-31T00:00:00,12.9,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1937-12-31T00:00:00,5.1,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1938-12-31T00:00:00,-3.3,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1939-12-31T00:00:00,8,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1940-12-31T00:00:00,8.8,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1941-12-31T00:00:00,17.7,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1942-12-31T00:00:00,18.9,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1943-12-31T00:00:00,17,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1944-12-31T00:00:00,7.9,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1945-12-31T00:00:00,-1,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1946-12-31T00:00:00,-11.6,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1947-12-31T00:00:00,-1.1,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1948-12-31T00:00:00,4.1,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1949-12-31T00:00:00,-0.6,Yearly,USAFYGG,2024-09-26T13:49:00
United States,Full Year GDP Growth,1950-12-31T00:00:00,8.7,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1951-12-31T00:00:00,8,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1952-12-31T00:00:00,4.1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1953-12-31T00:00:00,4.7,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1954-12-31T00:00:00,-0.6,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1955-12-31T00:00:00,7.1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1956-12-31T00:00:00,2.1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1957-12-31T00:00:00,2.1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1958-12-31T00:00:00,-0.7,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1959-12-31T00:00:00,6.9,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1960-12-31T00:00:00,2.6,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1961-12-31T00:00:00,2.6,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1962-12-31T00:00:00,6.1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1963-12-31T00:00:00,4.4,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1964-12-31T00:00:00,5.8,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1965-12-31T00:00:00,6.5,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1966-12-31T00:00:00,6.6,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1967-12-31T00:00:00,2.7,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1968-12-31T00:00:00,4.9,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1969-12-31T00:00:00,3.1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1970-12-31T00:00:00,0.2,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1971-12-31T00:00:00,3.3,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1972-12-31T00:00:00,5.3,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1973-12-31T00:00:00,5.6,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1974-12-31T00:00:00,-0.5,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1975-12-31T00:00:00,-0.2,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1976-12-31T00:00:00,5.4,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1977-12-31T00:00:00,4.6,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1978-12-31T00:00:00,5.5,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1979-12-31T00:00:00,3.2,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1980-12-31T00:00:00,-0.3,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1981-12-31T00:00:00,2.5,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1982-12-31T00:00:00,-1.8,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1983-12-31T00:00:00,4.6,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1984-12-31T00:00:00,7.2,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1985-12-31T00:00:00,4.2,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1986-12-31T00:00:00,3.5,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1987-12-31T00:00:00,3.5,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1988-12-31T00:00:00,4.2,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1989-12-31T00:00:00,3.7,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1990-12-31T00:00:00,1.9,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1991-12-31T00:00:00,-0.1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1992-12-31T00:00:00,3.5,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1993-12-31T00:00:00,2.7,Yearly,USAFYGG,2023-09-28T13:02:00
United States,Full Year GDP Growth,1994-12-31T00:00:00,4,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1995-12-31T00:00:00,2.7,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1996-12-31T00:00:00,3.8,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1997-12-31T00:00:00,4.4,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1998-12-31T00:00:00,4.5,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,1999-12-31T00:00:00,4.8,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,2000-12-31T00:00:00,4.1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,2001-12-31T00:00:00,1,Yearly,USAFYGG,2022-01-27T11:36:00
United States,Full Year GDP Growth,2002-12-31T00:00:00,1.7,Yearly,USAFYGG,2022-01-27T11:36:00
