Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP,1960-12-31T00:00:00,541.99,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1961-12-31T00:00:00,561.94,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1962-12-31T00:00:00,603.64,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1963-12-31T00:00:00,637.06,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1964-12-31T00:00:00,684.14,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1965-12-31T00:00:00,741.9,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1966-12-31T00:00:00,813.03,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1967-12-31T00:00:00,859.62,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1968-12-31T00:00:00,940.23,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1969-12-31T00:00:00,1017.44,Yearly,WGDPUS,2024-07-01T13:29:00
United States,GDP,1970-12-31T00:00:00,1073.3,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1971-12-31T00:00:00,1164.85,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1972-12-31T00:00:00,1279.11,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1973-12-31T00:00:00,1425.38,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1974-12-31T00:00:00,1545.24,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1975-12-31T00:00:00,1684.9,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1976-12-31T00:00:00,1873.41,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1977-12-31T00:00:00,2081.83,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1978-12-31T00:00:00,2351.6,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1979-12-31T00:00:00,2627.33,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1980-12-31T00:00:00,2857.31,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1981-12-31T00:00:00,3207.04,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1982-12-31T00:00:00,3343.79,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1983-12-31T00:00:00,3634.04,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1984-12-31T00:00:00,4037.61,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1985-12-31T00:00:00,4338.98,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1986-12-31T00:00:00,4579.63,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1987-12-31T00:00:00,4855.22,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1988-12-31T00:00:00,5236.44,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1989-12-31T00:00:00,5641.58,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1990-12-31T00:00:00,5963.14,Yearly,WGDPUS,2019-07-01T13:41:00
United States,GDP,1991-12-31T00:00:00,6158.13,Yearly,WGDPUS,2019-07-01T13:41:00
