Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP Constant Prices,1947-03-31T00:00:00,2182.7,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1947-06-30T00:00:00,2176.9,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1947-09-30T00:00:00,2172.4,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1947-12-31T00:00:00,2206.5,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1948-03-31T00:00:00,2239.7,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1948-06-30T00:00:00,2276.7,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1948-09-30T00:00:00,2289.8,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1948-12-31T00:00:00,2292.4,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1949-03-31T00:00:00,2260.8,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1949-06-30T00:00:00,2253.1,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1949-09-30T00:00:00,2276.4,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1949-12-31T00:00:00,2257.4,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1950-03-31T00:00:00,2346.1,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1950-06-30T00:00:00,2417.7,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1950-09-30T00:00:00,2511.1,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1950-12-31T00:00:00,2559.2,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1951-03-31T00:00:00,2594,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1951-06-30T00:00:00,2638.9,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1951-09-30T00:00:00,2693.3,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1951-12-31T00:00:00,2699.2,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1952-03-31T00:00:00,2728,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1952-06-30T00:00:00,2733.8,Quarterly,UNITEDSTAGDPCONPRI,2023-09-28T13:08:00
United States,GDP Constant Prices,1952-09-30T00:00:00,2753.5,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1952-12-31T00:00:00,2843.9,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1953-03-31T00:00:00,2896.8,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1953-06-30T00:00:00,2919.2,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1953-09-30T00:00:00,2902.8,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
United States,GDP Constant Prices,1953-12-31T00:00:00,2858.8,Quarterly,UNITEDSTAGDPCONPRI,2024-09-26T13:57:00
