Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP Deflator,1947-03-31T00:00:00,11.14,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1947-06-30T00:00:00,11.3,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1947-09-30T00:00:00,11.49,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1947-12-31T00:00:00,11.77,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1948-03-31T00:00:00,11.87,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1948-06-30T00:00:00,11.97,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1948-09-30T00:00:00,12.19,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1948-12-31T00:00:00,12.23,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1949-03-31T00:00:00,12.17,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1949-06-30T00:00:00,12.04,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1949-09-30T00:00:00,11.99,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1949-12-31T00:00:00,11.99,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1950-03-31T00:00:00,11.97,Quarterly,UNITEDSTAGDPDEF,2023-09-28T13:09:00
United States,GDP Deflator,1950-06-30T00:00:00,12.01,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1950-09-30T00:00:00,12.27,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1950-12-31T00:00:00,12.5,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1951-03-31T00:00:00,12.95,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1951-06-30T00:00:00,13.04,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1951-09-30T00:00:00,13.05,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
United States,GDP Deflator,1951-12-31T00:00:00,13.2,Quarterly,UNITEDSTAGDPDEF,2024-09-26T14:40:00
