Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP from Agriculture,2005-03-31T00:00:00,190.4,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2005-06-30T00:00:00,196.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2005-09-30T00:00:00,197.4,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2005-12-31T00:00:00,200.4,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2006-03-31T00:00:00,197.8,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2006-06-30T00:00:00,212.5,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2006-09-30T00:00:00,197.8,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2006-12-31T00:00:00,189.4,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2007-03-31T00:00:00,189.8,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2007-06-30T00:00:00,177.6,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2007-09-30T00:00:00,170.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2007-12-31T00:00:00,171.9,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2008-03-31T00:00:00,180.6,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2008-06-30T00:00:00,175.9,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2008-09-30T00:00:00,169.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2008-12-31T00:00:00,184.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2009-03-31T00:00:00,194.9,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2009-06-30T00:00:00,191.4,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2009-09-30T00:00:00,205.5,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2009-12-31T00:00:00,197.8,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2010-03-31T00:00:00,187.8,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2010-06-30T00:00:00,195.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2010-09-30T00:00:00,194,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2010-12-31T00:00:00,189.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2011-03-31T00:00:00,188.9,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2011-06-30T00:00:00,178.5,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2011-09-30T00:00:00,180.1,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2011-12-31T00:00:00,189.6,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2012-03-31T00:00:00,185.8,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2012-06-30T00:00:00,182.9,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2012-09-30T00:00:00,175.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2012-12-31T00:00:00,170.7,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2013-03-31T00:00:00,194.9,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2013-06-30T00:00:00,210.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2013-09-30T00:00:00,215,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2013-12-31T00:00:00,209.8,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2014-03-31T00:00:00,207.3,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
United States,GDP from Agriculture,2014-06-30T00:00:00,209,Quarterly,UNITEDSTAGDPFROAGR,2022-12-22T15:03:00
