Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP from Construction,2005-03-31T00:00:00,794.3,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2005-06-30T00:00:00,787.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2005-09-30T00:00:00,782.4,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2005-12-31T00:00:00,776.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2006-03-31T00:00:00,792.2,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2006-06-30T00:00:00,778,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2006-09-30T00:00:00,764.3,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2006-12-31T00:00:00,744,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2007-03-31T00:00:00,748.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2007-06-30T00:00:00,759.7,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2007-09-30T00:00:00,750.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2007-12-31T00:00:00,726.5,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2008-03-31T00:00:00,691.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2008-06-30T00:00:00,683.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2008-09-30T00:00:00,676.7,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2008-12-31T00:00:00,641.1,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2009-03-31T00:00:00,587.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2009-06-30T00:00:00,576.8,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2009-09-30T00:00:00,583.2,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2009-12-31T00:00:00,559.8,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2010-03-31T00:00:00,544.6,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2010-06-30T00:00:00,554.4,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2010-09-30T00:00:00,549.2,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2010-12-31T00:00:00,545.1,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2011-03-31T00:00:00,533.2,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2011-06-30T00:00:00,541.5,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2011-09-30T00:00:00,542.3,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2011-12-31T00:00:00,542.8,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2012-03-31T00:00:00,555.6,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2012-06-30T00:00:00,552.7,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2012-09-30T00:00:00,550.2,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2012-12-31T00:00:00,561.2,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2013-03-31T00:00:00,565.4,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2013-06-30T00:00:00,565.1,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2013-09-30T00:00:00,573,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2013-12-31T00:00:00,569.5,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2014-03-31T00:00:00,570.3,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2014-06-30T00:00:00,579,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2014-09-30T00:00:00,578.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2014-12-31T00:00:00,588.1,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2015-03-31T00:00:00,593.5,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2015-06-30T00:00:00,605.2,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2015-09-30T00:00:00,609.1,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2015-12-31T00:00:00,612.6,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2016-03-31T00:00:00,625.6,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2016-06-30T00:00:00,622.6,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2016-09-30T00:00:00,627.8,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2016-12-31T00:00:00,636.7,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2017-03-31T00:00:00,648,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2017-06-30T00:00:00,644.9,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2017-09-30T00:00:00,647.3,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2017-12-31T00:00:00,660.2,Quarterly,UNITEDSTAGDPFROCON,2022-12-22T15:04:00
United States,GDP from Construction,2018-03-31T00:00:00,865.8,Quarterly,UNITEDSTAGDPFROCON,2023-12-07T10:19:00
United States,GDP from Construction,2018-06-30T00:00:00,860.3,Quarterly,UNITEDSTAGDPFROCON,2023-12-07T10:19:00
United States,GDP from Construction,2018-09-30T00:00:00,865,Quarterly,UNITEDSTAGDPFROCON,2023-12-07T10:19:00
United States,GDP from Construction,2018-12-31T00:00:00,863.9,Quarterly,UNITEDSTAGDPFROCON,2023-12-07T10:19:00
United States,GDP from Construction,2019-03-31T00:00:00,877.3,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2019-06-30T00:00:00,881.5,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2019-09-30T00:00:00,887.6,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2019-12-31T00:00:00,882.7,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2020-03-31T00:00:00,871.1,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2020-06-30T00:00:00,824.3,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2020-09-30T00:00:00,871.5,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2020-12-31T00:00:00,883.8,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2021-03-31T00:00:00,892.8,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2021-06-30T00:00:00,904.4,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2021-09-30T00:00:00,886.3,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2021-12-31T00:00:00,866.9,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2022-03-31T00:00:00,884.3,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2022-06-30T00:00:00,851.7,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2022-09-30T00:00:00,813.5,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2022-12-31T00:00:00,810.4,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2023-03-31T00:00:00,807.2,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2023-06-30T00:00:00,811,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2023-09-30T00:00:00,829.6,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2023-12-31T00:00:00,836.5,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2024-03-31T00:00:00,853.3,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2024-06-30T00:00:00,864.1,Quarterly,UNITEDSTAGDPFROCON,2024-09-26T14:11:00
United States,GDP from Construction,2024-09-30T00:00:00,863.7,Quarterly,UNITEDSTAGDPFROCON,2024-12-19T14:16:00
United States,GDP from Construction,2024-12-31T00:00:00,873.8,Quarterly,UNITEDSTAGDPFROCON,2025-03-27T14:18:00
