Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP from Manufacturing,2005-03-31T00:00:00,1865.6,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2005-06-30T00:00:00,1870.3,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP from Manufacturing,2005-09-30T00:00:00,1887,Quarterly,UNITEDSTAGDPFROMAN,2018-11-14T19:08:00
United States,GDP from Manufacturing,2005-12-31T00:00:00,1929.3,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2006-03-31T00:00:00,1990.2,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2006-06-30T00:00:00,1988.4,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2006-09-30T00:00:00,1986.7,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2006-12-31T00:00:00,2021.9,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2007-03-31T00:00:00,2007.9,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2007-06-30T00:00:00,2046.6,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2007-09-30T00:00:00,2083.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2007-12-31T00:00:00,2121.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2008-03-31T00:00:00,2050.5,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2008-06-30T00:00:00,2091.5,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2008-09-30T00:00:00,2038,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2008-12-31T00:00:00,1908.6,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2009-03-31T00:00:00,1800.8,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2009-06-30T00:00:00,1805.4,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2009-09-30T00:00:00,1827.8,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2009-12-31T00:00:00,1893.5,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2010-03-31T00:00:00,1914,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2010-06-30T00:00:00,1925.9,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2010-09-30T00:00:00,1947.4,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2010-12-31T00:00:00,1957.6,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2011-03-31T00:00:00,1942.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2011-06-30T00:00:00,1955.7,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2011-09-30T00:00:00,1932.5,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2011-12-31T00:00:00,1954.7,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2012-03-31T00:00:00,1965.8,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2012-06-30T00:00:00,1949.3,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2012-09-30T00:00:00,1917.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2012-12-31T00:00:00,1906.3,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2013-03-31T00:00:00,1971.5,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2013-06-30T00:00:00,1978.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2013-09-30T00:00:00,2005.9,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2013-12-31T00:00:00,2011.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2014-03-31T00:00:00,1982.9,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2014-06-30T00:00:00,2023,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2014-09-30T00:00:00,2044.4,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2014-12-31T00:00:00,2044.5,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2015-03-31T00:00:00,2059.9,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2015-06-30T00:00:00,2050.3,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2015-09-30T00:00:00,2049.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2015-12-31T00:00:00,2025.7,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2016-03-31T00:00:00,2035.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2016-06-30T00:00:00,2037.5,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2016-09-30T00:00:00,2049.3,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2016-12-31T00:00:00,2039.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2017-03-31T00:00:00,2060.8,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2017-06-30T00:00:00,2097.6,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2017-09-30T00:00:00,2111.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2017-12-31T00:00:00,2157.1,Quarterly,UNITEDSTAGDPFROMAN,2022-12-22T15:04:00
United States,GDP from Manufacturing,2018-03-31T00:00:00,2192.3,Quarterly,UNITEDSTAGDPFROMAN,2023-12-07T10:20:00
United States,GDP from Manufacturing,2018-06-30T00:00:00,2205.5,Quarterly,UNITEDSTAGDPFROMAN,2023-12-07T10:20:00
United States,GDP from Manufacturing,2018-09-30T00:00:00,2216.4,Quarterly,UNITEDSTAGDPFROMAN,2023-12-07T10:20:00
United States,GDP from Manufacturing,2018-12-31T00:00:00,2237.9,Quarterly,UNITEDSTAGDPFROMAN,2023-12-07T10:20:00
United States,GDP from Manufacturing,2019-03-31T00:00:00,2207.1,Quarterly,UNITEDSTAGDPFROMAN,2024-09-26T14:12:00
