Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP from Mining,2005-03-31T00:00:00,263.3,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2005-06-30T00:00:00,262.9,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2005-09-30T00:00:00,246.4,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2005-12-31T00:00:00,241.4,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2006-03-31T00:00:00,282.2,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2006-06-30T00:00:00,285.4,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2006-09-30T00:00:00,292.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2006-12-31T00:00:00,311.1,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2007-03-31T00:00:00,316.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2007-06-30T00:00:00,325.5,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2007-09-30T00:00:00,318.8,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2007-12-31T00:00:00,302.6,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2008-03-31T00:00:00,285.8,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2008-06-30T00:00:00,275.2,Quarterly,UNITEDSTAGDPFROMIN,2018-11-14T19:09:00
United States,GDP from Mining,2008-09-30T00:00:00,291.2,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2008-12-31T00:00:00,371.2,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2009-03-31T00:00:00,387.4,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2009-06-30T00:00:00,353.9,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2009-09-30T00:00:00,338.6,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2009-12-31T00:00:00,319.1,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2010-03-31T00:00:00,301.2,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2010-06-30T00:00:00,310,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2010-09-30T00:00:00,310.5,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2010-12-31T00:00:00,318.1,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2011-03-31T00:00:00,309.2,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2011-06-30T00:00:00,312.4,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2011-09-30T00:00:00,323.8,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2011-12-31T00:00:00,343.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2012-03-31T00:00:00,349.2,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2012-06-30T00:00:00,364.6,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2012-09-30T00:00:00,361.2,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2012-12-31T00:00:00,367.1,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2013-03-31T00:00:00,364.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2013-06-30T00:00:00,368.8,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2013-09-30T00:00:00,374.4,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2013-12-31T00:00:00,388.3,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2014-03-31T00:00:00,378.5,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2014-06-30T00:00:00,399.9,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2014-09-30T00:00:00,424.8,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2014-12-31T00:00:00,454.9,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2015-03-31T00:00:00,479.3,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2015-06-30T00:00:00,430.5,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2015-09-30T00:00:00,445.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2015-12-31T00:00:00,449.5,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2016-03-31T00:00:00,479.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2016-06-30T00:00:00,418,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2016-09-30T00:00:00,406.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2016-12-31T00:00:00,404.5,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2017-03-31T00:00:00,409.1,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2017-06-30T00:00:00,432.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2017-09-30T00:00:00,447.7,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2017-12-31T00:00:00,444.2,Quarterly,UNITEDSTAGDPFROMIN,2022-12-22T15:05:00
United States,GDP from Mining,2018-03-31T00:00:00,270.2,Quarterly,UNITEDSTAGDPFROMIN,2023-12-07T10:21:00
United States,GDP from Mining,2018-06-30T00:00:00,280,Quarterly,UNITEDSTAGDPFROMIN,2023-12-07T10:21:00
United States,GDP from Mining,2018-09-30T00:00:00,276.5,Quarterly,UNITEDSTAGDPFROMIN,2023-12-07T10:21:00
United States,GDP from Mining,2018-12-31T00:00:00,281.4,Quarterly,UNITEDSTAGDPFROMIN,2023-12-07T10:21:00
United States,GDP from Mining,2019-03-31T00:00:00,303.4,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2019-06-30T00:00:00,312,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2019-09-30T00:00:00,322.8,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2019-12-31T00:00:00,311.6,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2020-03-31T00:00:00,322.8,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2020-06-30T00:00:00,301.7,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2020-09-30T00:00:00,299,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2020-12-31T00:00:00,294.5,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2021-03-31T00:00:00,294.1,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2021-06-30T00:00:00,278.2,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2021-09-30T00:00:00,274.2,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2021-12-31T00:00:00,264.1,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2022-03-31T00:00:00,243.3,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2022-06-30T00:00:00,232.9,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2022-09-30T00:00:00,250,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2022-12-31T00:00:00,280.8,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2023-03-31T00:00:00,303.5,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2023-06-30T00:00:00,340.1,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2023-09-30T00:00:00,351.2,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2023-12-31T00:00:00,350.4,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2024-03-31T00:00:00,340.8,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2024-06-30T00:00:00,336.6,Quarterly,UNITEDSTAGDPFROMIN,2024-09-26T14:14:00
United States,GDP from Mining,2024-09-30T00:00:00,337.6,Quarterly,UNITEDSTAGDPFROMIN,2024-12-19T14:17:00
United States,GDP from Mining,2024-12-31T00:00:00,343.6,Quarterly,UNITEDSTAGDPFROMIN,2025-03-27T14:19:00
