Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP from Services,2005-03-31T00:00:00,9721.7,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2005-06-30T00:00:00,9814.9,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2005-09-30T00:00:00,9926.5,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2005-12-31T00:00:00,9971.7,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2006-03-31T00:00:00,10071.6,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2006-06-30T00:00:00,10112.8,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2006-09-30T00:00:00,10138.8,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2006-12-31T00:00:00,10211.4,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2007-03-31T00:00:00,10241.4,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2007-06-30T00:00:00,10277.9,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2007-09-30T00:00:00,10343.9,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2007-12-31T00:00:00,10436.1,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2008-03-31T00:00:00,10471.8,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2008-06-30T00:00:00,10525.9,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2008-09-30T00:00:00,10468.5,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2008-12-31T00:00:00,10191.8,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
United States,GDP from Services,2009-03-31T00:00:00,10171.1,Quarterly,UNITEDSTAGDPFROSER,2022-12-22T15:05:00
