Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP from Transport,2005-03-31T00:00:00,429.3,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2005-06-30T00:00:00,437.2,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2005-09-30T00:00:00,461.4,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2005-12-31T00:00:00,468.1,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2006-03-31T00:00:00,468.2,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP from Transport,2006-06-30T00:00:00,479.8,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2006-09-30T00:00:00,478.7,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2006-12-31T00:00:00,476,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2007-03-31T00:00:00,464,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2007-06-30T00:00:00,478.4,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2007-09-30T00:00:00,467.7,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2007-12-31T00:00:00,479.2,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2008-03-31T00:00:00,473.1,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2008-06-30T00:00:00,473.6,Quarterly,UNITEDSTAGDPFROTRA,2018-11-14T19:13:00
United States,GDP from Transport,2008-09-30T00:00:00,468,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2008-12-31T00:00:00,456.9,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2009-03-31T00:00:00,431.1,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2009-06-30T00:00:00,438.5,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2009-09-30T00:00:00,438.6,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2009-12-31T00:00:00,446.9,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
United States,GDP from Transport,2010-03-31T00:00:00,444.5,Quarterly,UNITEDSTAGDPFROTRA,2022-12-22T15:06:00
