Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP from Utilities,2005-03-31T00:00:00,218.4,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2005-06-30T00:00:00,217.6,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2005-09-30T00:00:00,221,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2005-12-31T00:00:00,221.7,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2006-03-31T00:00:00,220.9,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2006-06-30T00:00:00,238.7,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2006-09-30T00:00:00,241,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2006-12-31T00:00:00,235.3,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2007-03-31T00:00:00,232.7,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2007-06-30T00:00:00,241.5,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2007-09-30T00:00:00,239,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2007-12-31T00:00:00,243,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2008-03-31T00:00:00,245.7,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2008-06-30T00:00:00,264,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2008-09-30T00:00:00,264.9,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2008-12-31T00:00:00,230.6,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2009-03-31T00:00:00,226.5,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2009-06-30T00:00:00,231.2,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2009-09-30T00:00:00,238.4,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2009-12-31T00:00:00,251.1,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2010-03-31T00:00:00,265.4,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2010-06-30T00:00:00,263.1,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2010-09-30T00:00:00,266.7,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2010-12-31T00:00:00,270.2,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2011-03-31T00:00:00,262.1,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2011-06-30T00:00:00,279.2,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2011-09-30T00:00:00,274.5,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2011-12-31T00:00:00,292,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2012-03-31T00:00:00,276.6,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
United States,GDP from Utilities,2012-06-30T00:00:00,284.8,Quarterly,UNITEDSTAGDPFROUTI,2022-12-22T15:06:00
