Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,GDP per Capita PPP,1990-12-31T00:00:00,44378.52,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1991-12-31T00:00:00,43742.03,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1992-12-31T00:00:00,44659.15,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1993-12-31T00:00:00,45286.94,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1994-12-31T00:00:00,46537.36,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1995-12-31T00:00:00,47220.96,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1996-12-31T00:00:00,48435.7,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1997-12-31T00:00:00,49984.27,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1998-12-31T00:00:00,51619.87,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,1999-12-31T00:00:00,53474.05,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2000-12-31T00:00:00,55038.62,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2001-12-31T00:00:00,55017.3,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2002-12-31T00:00:00,55436.12,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2003-12-31T00:00:00,56498.21,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2004-12-31T00:00:00,58131.63,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2005-12-31T00:00:00,59604.75,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2006-12-31T00:00:00,60676.57,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2007-12-31T00:00:00,61306.6,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2008-12-31T00:00:00,60798.43,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2009-12-31T00:00:00,58714.97,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2010-12-31T00:00:00,59799.29,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2011-12-31T00:00:00,60294.98,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2012-12-31T00:00:00,61224.41,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2013-12-31T00:00:00,62089.35,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2014-12-31T00:00:00,63191.25,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2015-12-31T00:00:00,64575.41,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2016-12-31T00:00:00,65275.57,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2017-12-31T00:00:00,66458.02,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2018-12-31T00:00:00,68070.21,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2019-12-31T00:00:00,69511.76,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2020-12-31T00:00:00,67352.39,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2021-12-31T00:00:00,71318.31,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2022-12-31T00:00:00,72841.92,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
United States,GDP per Capita PPP,2023-12-31T00:00:00,74577.51,Yearly,USANYGDPPCAPPPCD,2025-02-21T09:42:00
