Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Goods Imports,1992-01-31T00:00:00,41810,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-02-29T00:00:00,41371,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-03-31T00:00:00,42681,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-04-30T00:00:00,43399,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-05-31T00:00:00,43954,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-06-30T00:00:00,44954,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-07-31T00:00:00,44989,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-08-31T00:00:00,45466,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-09-30T00:00:00,45671,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-10-31T00:00:00,46160,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-11-30T00:00:00,45971,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1992-12-31T00:00:00,46239,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-01-31T00:00:00,45495,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-02-28T00:00:00,45102,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-03-31T00:00:00,48969,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-04-30T00:00:00,48573,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-05-31T00:00:00,47942,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-06-30T00:00:00,49189,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-07-31T00:00:00,48112,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-08-31T00:00:00,47901,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-09-30T00:00:00,49083,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-10-31T00:00:00,50820,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-11-30T00:00:00,49939,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1993-12-31T00:00:00,49534,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-01-31T00:00:00,50027,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-02-28T00:00:00,50399,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-03-31T00:00:00,52267,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-04-30T00:00:00,52936,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-05-31T00:00:00,53830,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-06-30T00:00:00,55731,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-07-31T00:00:00,56096,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-08-31T00:00:00,57396,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-09-30T00:00:00,57640,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-10-31T00:00:00,57950,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-11-30T00:00:00,59778,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1994-12-31T00:00:00,59204,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-01-31T00:00:00,60492,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-02-28T00:00:00,59836,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-03-31T00:00:00,61390,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-04-30T00:00:00,62557,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-05-31T00:00:00,62311,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-06-30T00:00:00,62698,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-07-31T00:00:00,62479,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-08-31T00:00:00,62042,Monthly,USAGOOIMP,2025-04-29T13:35:00
United States,Goods Imports,1995-09-30T00:00:00,62845,Monthly,USAGOOIMP,2025-04-29T13:35:00
