Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Goods Trade Balance,1955-01-31T00:00:00,288,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-02-28T00:00:00,308,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-03-31T00:00:00,251,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-04-30T00:00:00,230,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-05-31T00:00:00,193,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-06-30T00:00:00,241,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1955-07-31T00:00:00,283,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-08-31T00:00:00,257,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-09-30T00:00:00,220,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-10-31T00:00:00,223,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-11-30T00:00:00,159,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1955-12-31T00:00:00,235,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-01-31T00:00:00,250,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-02-29T00:00:00,241,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-03-31T00:00:00,302,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-04-30T00:00:00,386,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-05-31T00:00:00,375,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-06-30T00:00:00,370,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-07-31T00:00:00,348,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-08-31T00:00:00,379,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-09-30T00:00:00,465,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-10-31T00:00:00,446,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-11-30T00:00:00,373,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1956-12-31T00:00:00,783,Monthly,UNITEDSTAGOOTRABAL,2019-07-22T15:53:00
United States,Goods Trade Balance,1957-01-31T00:00:00,600,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-02-28T00:00:00,549,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-03-31T00:00:00,760,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-04-30T00:00:00,634,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-05-31T00:00:00,495,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-06-30T00:00:00,632,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-07-31T00:00:00,488,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-08-31T00:00:00,508,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-09-30T00:00:00,518,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-10-31T00:00:00,460,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-11-30T00:00:00,458,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1957-12-31T00:00:00,417,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1958-01-31T00:00:00,370,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1958-02-28T00:00:00,300,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1958-03-31T00:00:00,334,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1958-04-30T00:00:00,313,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1958-05-31T00:00:00,312,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1958-06-30T00:00:00,300,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
United States,Goods Trade Balance,1958-07-31T00:00:00,338,Monthly,UNITEDSTAGOOTRABAL,2024-11-27T13:55:00
