Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Bond 10Y,1986-12-01T00:00:00,7.169,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-02T00:00:00,7.076,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-03T00:00:00,7.049,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-04T00:00:00,7.001,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-05T00:00:00,7.111,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-08T00:00:00,7.098,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-09T00:00:00,7.058,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-10T00:00:00,7.04,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-11T00:00:00,7.114,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-12T00:00:00,7.123,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-15T00:00:00,7.141,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-16T00:00:00,7.11,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-17T00:00:00,7.11,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-18T00:00:00,7.101,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-19T00:00:00,7.097,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-22T00:00:00,7.088,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-23T00:00:00,7.07,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-24T00:00:00,7.065,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-25T00:00:00,7.065,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-26T00:00:00,7.074,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-29T00:00:00,7.158,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-30T00:00:00,7.22,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1986-12-31T00:00:00,7.22,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-01T00:00:00,7.22,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-02T00:00:00,7.171,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-05T00:00:00,7.073,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-06T00:00:00,7.064,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-07T00:00:00,7.037,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-08T00:00:00,7.024,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-09T00:00:00,6.998,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-12T00:00:00,7.033,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-13T00:00:00,7.081,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-14T00:00:00,7.09,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-15T00:00:00,7.037,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-16T00:00:00,7.015,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-19T00:00:00,7.014,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-20T00:00:00,6.997,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-21T00:00:00,6.993,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-22T00:00:00,7.014,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-23T00:00:00,7.045,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-26T00:00:00,7.152,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-27T00:00:00,7.142,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-28T00:00:00,7.111,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-29T00:00:00,7.116,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-01-30T00:00:00,7.16,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-02T00:00:00,7.21,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-03T00:00:00,7.228,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-04T00:00:00,7.223,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-05T00:00:00,7.174,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-06T00:00:00,7.164,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-09T00:00:00,7.218,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-10T00:00:00,7.314,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-11T00:00:00,7.355,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-12T00:00:00,7.29,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-13T00:00:00,7.268,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-16T00:00:00,7.268,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-17T00:00:00,7.318,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-18T00:00:00,7.281,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-19T00:00:00,7.213,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-20T00:00:00,7.227,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-23T00:00:00,7.213,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-24T00:00:00,7.164,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-25T00:00:00,7.191,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-26T00:00:00,7.191,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-02-27T00:00:00,7.177,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-02T00:00:00,7.15,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-03T00:00:00,7.195,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-04T00:00:00,7.128,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-05T00:00:00,7.145,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-06T00:00:00,7.213,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-09T00:00:00,7.213,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-10T00:00:00,7.213,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-11T00:00:00,7.213,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-12T00:00:00,7.199,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-13T00:00:00,7.168,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-16T00:00:00,7.195,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-17T00:00:00,7.181,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-18T00:00:00,7.19,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-19T00:00:00,7.186,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-20T00:00:00,7.199,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-23T00:00:00,7.227,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-24T00:00:00,7.245,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-25T00:00:00,7.24,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-26T00:00:00,7.217,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-27T00:00:00,7.309,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-30T00:00:00,7.517,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-03-31T00:00:00,7.489,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-01T00:00:00,7.564,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-02T00:00:00,7.569,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-03T00:00:00,7.569,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-06T00:00:00,7.513,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-07T00:00:00,7.598,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-08T00:00:00,7.583,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-09T00:00:00,7.759,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-10T00:00:00,7.957,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-13T00:00:00,8.05,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-14T00:00:00,8.258,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-15T00:00:00,8.07,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-16T00:00:00,8.006,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-17T00:00:00,8.007,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-20T00:00:00,8.18,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-21T00:00:00,8.165,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-22T00:00:00,8.22,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-23T00:00:00,8.366,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-24T00:00:00,8.443,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-27T00:00:00,8.347,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-28T00:00:00,8.257,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-29T00:00:00,8.327,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-04-30T00:00:00,8.182,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-01T00:00:00,8.363,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-04T00:00:00,8.491,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-05T00:00:00,8.43,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-06T00:00:00,8.532,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-07T00:00:00,8.471,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-08T00:00:00,8.421,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-11T00:00:00,8.57,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-12T00:00:00,8.539,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-13T00:00:00,8.545,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-14T00:00:00,8.566,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-15T00:00:00,8.79,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-18T00:00:00,8.738,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-19T00:00:00,8.966,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-20T00:00:00,8.934,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-21T00:00:00,8.892,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-22T00:00:00,8.803,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-25T00:00:00,8.803,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-26T00:00:00,8.708,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-27T00:00:00,8.61,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-28T00:00:00,8.584,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-05-29T00:00:00,8.502,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-06-01T00:00:00,8.447,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-06-02T00:00:00,8.719,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-06-03T00:00:00,8.637,Daily,USGG10YR,2025-04-29T17:16:11
United States,Government Bond 10Y,1987-06-04T00:00:00,8.575,Daily,USGG10YR,2025-04-29T17:16:11
