Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Budget,1948-12-31T00:00:00,4.5,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1949-12-31T00:00:00,0.2,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1950-12-31T00:00:00,-1.1,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1951-12-31T00:00:00,1.9,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1952-12-31T00:00:00,-0.4,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1953-12-31T00:00:00,-1.7,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1954-12-31T00:00:00,-0.3,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1955-12-31T00:00:00,-0.7,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1956-12-31T00:00:00,0.9,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1957-12-31T00:00:00,0.7,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1958-12-31T00:00:00,-0.6,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1959-12-31T00:00:00,-2.5,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1960-12-31T00:00:00,0.1,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1961-12-31T00:00:00,-0.6,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1962-12-31T00:00:00,-1.2,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1963-12-31T00:00:00,-0.8,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1964-12-31T00:00:00,-0.9,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1965-12-31T00:00:00,-0.2,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1966-12-31T00:00:00,-0.5,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1967-12-31T00:00:00,-1,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1968-12-31T00:00:00,-2.8,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1969-12-31T00:00:00,0.3,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1970-12-31T00:00:00,-0.3,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1971-12-31T00:00:00,-2.1,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1972-12-31T00:00:00,-1.9,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1973-12-31T00:00:00,-1.1,Yearly,FDDSGDP,2016-09-12T13:52:00
United States,Government Budget,1974-12-31T00:00:00,-0.4,Yearly,FDDSGDP,2016-09-12T13:52:00
