Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Budget Value,1954-01-31T00:00:00,-185,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-02-28T00:00:00,737,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-03-31T00:00:00,5879,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-04-30T00:00:00,-2545,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-05-31T00:00:00,-1611,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1954-06-30T00:00:00,3336,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-07-31T00:00:00,-2000,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-08-31T00:00:00,-2820,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1954-09-30T00:00:00,-68,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-10-31T00:00:00,-2218,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-11-30T00:00:00,359,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1954-12-31T00:00:00,-2546,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-01-31T00:00:00,-287,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1955-02-28T00:00:00,596,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-03-31T00:00:00,3847,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-04-30T00:00:00,-1496,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-05-31T00:00:00,-918,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1955-06-30T00:00:00,3372,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-07-31T00:00:00,-2617,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-08-31T00:00:00,-1491,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-09-30T00:00:00,158,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-10-31T00:00:00,-2663,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1955-11-30T00:00:00,-510,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1955-12-31T00:00:00,-762,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1956-01-31T00:00:00,-590,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1956-02-29T00:00:00,1245,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1956-03-31T00:00:00,5914,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1956-04-30T00:00:00,-1305,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1956-05-31T00:00:00,-417,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1956-06-30T00:00:00,4664,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1956-07-31T00:00:00,-2057,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1956-08-31T00:00:00,-948,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1956-09-30T00:00:00,1300,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1956-10-31T00:00:00,-2811,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1956-11-30T00:00:00,-912,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1956-12-31T00:00:00,-306,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1957-01-31T00:00:00,-1286,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-02-28T00:00:00,445,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-03-31T00:00:00,5153,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-04-30T00:00:00,-1731,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-05-31T00:00:00,-662,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-06-30T00:00:00,5409,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1957-07-31T00:00:00,-3290,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-08-31T00:00:00,-802,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-09-30T00:00:00,1558,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1957-10-31T00:00:00,-3370,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-11-30T00:00:00,-979,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1957-12-31T00:00:00,147,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1958-01-31T00:00:00,-1225,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1958-02-28T00:00:00,771,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1958-03-31T00:00:00,3752,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1958-04-30T00:00:00,-2626,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1958-05-31T00:00:00,-921,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1958-06-30T00:00:00,4164,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1958-07-31T00:00:00,-3667,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1958-08-31T00:00:00,-1360,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1958-09-30T00:00:00,575,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1958-10-31T00:00:00,-4375,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1958-11-30T00:00:00,-1275,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1958-12-31T00:00:00,-900,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1959-01-31T00:00:00,-2248,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1959-02-28T00:00:00,245,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1959-03-31T00:00:00,1965,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1959-04-30T00:00:00,-2169,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1959-05-31T00:00:00,-739,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1959-06-30T00:00:00,1523,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1959-07-31T00:00:00,-3311,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
United States,Government Budget Value,1959-08-31T00:00:00,-626,Monthly,UNITEDSTAGOVBUDVAL,2015-02-11T19:06:00
United States,Government Budget Value,1959-09-30T00:00:00,2129,Monthly,UNITEDSTAGOVBUDVAL,2014-08-12T19:01:00
