Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Debt,1942-01-31T00:00:00,60000,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-02-28T00:00:00,62400,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-03-31T00:00:00,62400,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-04-30T00:00:00,65000,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-05-31T00:00:00,68600,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-06-30T00:00:00,72400,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-07-31T00:00:00,77100,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-08-31T00:00:00,81700,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-09-30T00:00:00,86500,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-10-31T00:00:00,92900,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-11-30T00:00:00,96100,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1942-12-31T00:00:00,108200,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-01-31T00:00:00,111100,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-02-28T00:00:00,114000,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-03-31T00:00:00,115500,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-04-30T00:00:00,129800,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-05-31T00:00:00,135900,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-06-30T00:00:00,136700,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-07-31T00:00:00,141500,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-08-31T00:00:00,144100,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-09-30T00:00:00,158300,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-10-31T00:00:00,165000,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
United States,Government Debt,1943-11-30T00:00:00,166200,Monthly,UNITEDSTAGOVDEB,2019-07-03T15:44:00
