Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Revenues,1980-01-31T00:00:00,43179,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-02-29T00:00:00,37638,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-03-31T00:00:00,33111,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-04-30T00:00:00,60856,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-05-31T00:00:00,35840,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-06-30T00:00:00,58817,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-07-31T00:00:00,37093,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-08-31T00:00:00,43994,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-09-30T00:00:00,53259,Monthly,UNITEDSTAGOVREV,2015-07-28T11:37:00
United States,Government Revenues,1980-10-31T00:00:00,38923,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1980-11-30T00:00:00,39175,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1980-12-31T00:00:00,48904,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-01-31T00:00:00,51147,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-02-28T00:00:00,38129,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-03-31T00:00:00,44357,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-04-30T00:00:00,74188,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-05-31T00:00:00,38243,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-06-30T00:00:00,70429,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-07-31T00:00:00,47829,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-08-31T00:00:00,47669,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
United States,Government Revenues,1981-09-30T00:00:00,60279,Monthly,UNITEDSTAGOVREV,2024-04-19T10:07:00
