Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Government Spending,1947-03-31T00:00:00,560.5,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1947-06-30T00:00:00,560.1,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1947-09-30T00:00:00,560,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1947-12-31T00:00:00,555.6,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1948-03-31T00:00:00,563.9,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1948-06-30T00:00:00,583.8,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1948-09-30T00:00:00,596.1,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1948-12-31T00:00:00,618.1,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1949-03-31T00:00:00,634.5,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1949-06-30T00:00:00,662.2,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1949-09-30T00:00:00,665.7,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1949-12-31T00:00:00,654.1,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1950-03-31T00:00:00,642,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1950-06-30T00:00:00,653.8,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1950-09-30T00:00:00,643.3,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1950-12-31T00:00:00,688.7,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1951-03-31T00:00:00,762,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1951-06-30T00:00:00,863.6,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1951-09-30T00:00:00,958.4,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1951-12-31T00:00:00,1009.1,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1952-03-31T00:00:00,1039,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1952-06-30T00:00:00,1074.4,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1952-09-30T00:00:00,1085.2,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1952-12-31T00:00:00,1103.3,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1953-03-31T00:00:00,1138.3,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1953-06-30T00:00:00,1161.6,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1953-09-30T00:00:00,1149.3,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1953-12-31T00:00:00,1146.4,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1954-03-31T00:00:00,1116.7,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1954-06-30T00:00:00,1078.9,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1954-09-30T00:00:00,1055.5,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1954-12-31T00:00:00,1049.2,Quarterly,UNITEDSTAGOVSPE,2023-09-28T13:14:00
United States,Government Spending,1955-03-31T00:00:00,1049.8,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1955-06-30T00:00:00,1039.5,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
United States,Government Spending,1955-09-30T00:00:00,1046.2,Quarterly,UNITEDSTAGOVSPE,2024-09-26T14:04:00
